2020-11-27_14-33-46-423, ypr, -109.56, -0.86, -0.23, areal, 74, -31, 156
2020-11-27_14-33-46-440, ypr, -109.60, -0.88, -0.24, areal, 59, -19, 163
2020-11-27_14-33-46-459, ypr, -109.64, -0.91, -0.26, areal, 56, -29, 182
2020-11-27_14-33-46-478, ypr, -109.68, -0.92, -0.28, areal, 80, -60, 182
2020-11-27_14-33-46-497, ypr, -109.70, -0.90, -0.29, areal, 114, -52, 207
2020-11-27_14-33-46-513, ypr, -109.71, -0.89, -0.29, areal, 114, -45, 217
2020-11-27_14-33-46-535, ypr, -109.73, -0.84, -0.29, areal, 73, -46, 188
2020-11-27_14-33-46-551, ypr, -109.73, -0.83, -0.30, areal, 60, -50, 183
2020-11-27_14-33-46-571, ypr, -109.74, -0.80, -0.31, areal, 26, -51, 173
2020-11-27_14-33-46-589, ypr, -109.74, -0.77, -0.31, areal, -31, -44, 161
2020-11-27_14-33-46-609, ypr, -109.74, -0.72, -0.32, areal, -64, -58, 147
2020-11-27_14-33-46-629, ypr, -109.71, -0.64, -0.30, areal, -48, 34, 53
2020-11-27_14-33-46-647, ypr, -109.69, -0.54, -0.28, areal, -16, 1, 97
2020-11-27_14-33-46-667, ypr, -109.65, -0.41, -0.27, areal, 89, 6, 40
2020-11-27_14-33-46-683, ypr, -109.64, -0.35, -0.26, areal, 113, 8, 41
2020-11-27_14-33-46-701, ypr, -109.60, -0.22, -0.25, areal, 137, 44, 26
2020-11-27_14-33-46-720, ypr, -109.58, -0.10, -0.22, areal, 158, 86, 14
2020-11-27_14-33-46-738, ypr, -109.55, 0.01, -0.21, areal, 172, 48, 7
2020-11-27_14-33-46-756, ypr, -109.54, 0.10, -0.19, areal, 153, 31, -24
2020-11-27_14-33-46-777, ypr, -109.54, 0.16, -0.18, areal, 111, 59, -38
2020-11-27_14-33-46-793, ypr, -109.55, 0.19, -0.18, areal, 69, 59, -30
2020-11-27_14-33-46-810, ypr, -109.58, 0.20, -0.18, areal, 35, 50, -44
2020-11-27_14-33-46-831, ypr, -109.62, 0.20, -0.18, areal, 9, 34, -64
2020-11-27_14-33-46-849, ypr, -109.70, 0.18, -0.19, areal, -6, 55, -106
2020-11-27_14-33-46-868, ypr, -109.78, 0.14, -0.20, areal, -32, 101, -133
2020-11-27_14-33-46-886, ypr, -109.87, 0.09, -0.21, areal, -60, 118, -151
2020-11-27_14-33-46-903, ypr, -109.91, 0.07, -0.21, areal, -54, 109, -151
2020-11-27_14-33-46-922, ypr, -109.99, 0.06, -0.23, areal, -4, 78, -129
2020-11-27_14-33-46-941, ypr, -110.06, 0.07, -0.24, areal, 85, 72, -74
2020-11-27_14-33-46-961, ypr, -110.14, 0.09, -0.25, areal, 165, 89, -26
2020-11-27_14-33-46-979, ypr, -110.21, 0.11, -0.27, areal, 202, 77, 48
2020-11-27_14-33-46-996, ypr, -110.27, 0.13, -0.28, areal, 206, 43, 108
2020-11-27_14-33-47-012, ypr, -110.30, 0.12, -0.29, areal, 206, 12, 133
2020-11-27_14-33-47-030, ypr, -110.37, 0.14, -0.31, areal, 237, -16, 170
2020-11-27_14-33-47-048, ypr, -110.42, 0.17, -0.34, areal, 272, -20, 234
2020-11-27_14-33-47-066, ypr, -110.47, 0.18, -0.35, areal, 277, 0, 252
2020-11-27_14-33-47-081, ypr, -110.50, 0.19, -0.35, areal, 280, -10, 261
2020-11-27_14-33-47-099, ypr, -110.54, 0.22, -0.37, areal, 280, -66, 274
2020-11-27_14-33-47-117, ypr, -110.58, 0.26, -0.38, areal, 280, -24, 216
2020-11-27_14-33-47-133, ypr, -110.58, 0.27, -0.38, areal, 304, 21, 199
2020-11-27_14-33-47-150, ypr, -110.59, 0.33, -0.37, areal, 389, 80, 219
2020-11-27_14-33-47-167, ypr, -110.59, 0.41, -0.37, areal, 481, 43, 244
2020-11-27_14-33-47-183, ypr, -110.58, 0.44, -0.37, areal, 515, 15, 232
2020-11-27_14-33-47-200, ypr, -110.56, 0.52, -0.37, areal, 491, -15, 242
2020-11-27_14-33-47-218, ypr, -110.52, 0.59, -0.35, areal, 449, 16, 246
2020-11-27_14-33-47-239, ypr, -110.46, 0.67, -0.33, areal, 374, 24, 234
2020-11-27_14-33-47-257, ypr, -110.38, 0.75, -0.31, areal, 362, -16, 257
