2020-11-27_14-29-15-431, ypr, 6.35, -1.75, 0.21, areal, 16, 26, -268
2020-11-27_14-29-15-447, ypr, 6.41, -1.67, 0.24, areal, -21, 41, -281
2020-11-27_14-29-15-466, ypr, 6.47, -1.58, 0.26, areal, -67, 45, -339
2020-11-27_14-29-15-484, ypr, 6.54, -1.48, 0.28, areal, -89, 35, -345
2020-11-27_14-29-15-499, ypr, 6.57, -1.43, 0.30, areal, -91, 36, -340
2020-11-27_14-29-15-517, ypr, 6.63, -1.32, 0.32, areal, -47, 53, -341
2020-11-27_14-29-15-534, ypr, 6.67, -1.20, 0.35, areal, 38, 72, -356
2020-11-27_14-29-15-550, ypr, 6.69, -1.16, 0.37, areal, 75, 81, -361
2020-11-27_14-29-15-568, ypr, 6.71, -1.07, 0.39, areal, 104, 97, -361
2020-11-27_14-29-15-584, ypr, 6.72, -1.02, 0.40, areal, 109, 108, -371
2020-11-27_14-29-15-600, ypr, 6.73, -0.99, 0.41, areal, 118, 113, -369
2020-11-27_14-29-15-617, ypr, 6.74, -0.94, 0.43, areal, 149, 113, -395
2020-11-27_14-29-15-634, ypr, 6.74, -0.88, 0.44, areal, 192, 90, -410
2020-11-27_14-29-15-649, ypr, 6.75, -0.85, 0.44, areal, 210, 89, -404
2020-11-27_14-29-15-670, ypr, 6.77, -0.78, 0.46, areal, 203, 114, -409
2020-11-27_14-29-15-687, ypr, 6.81, -0.72, 0.48, areal, 134, 135, -446
2020-11-27_14-29-15-701, ypr, 6.83, -0.69, 0.50, areal, 86, 130, -486
2020-11-27_14-29-15-719, ypr, 6.90, -0.61, 0.52, areal, -7, 52, -493
2020-11-27_14-29-15-736, ypr, 7.00, -0.49, 0.52, areal, -133, -105, -410
2020-11-27_14-29-15-754, ypr, 7.12, -0.32, 0.59, areal, -73, 156, -670
2020-11-27_14-29-15-771, ypr, 7.18, -0.24, 0.64, areal, -108, 238, -671
2020-11-27_14-29-15-788, ypr, 7.30, -0.04, 0.69, areal, 51, 163, -467
2020-11-27_14-29-15-807, ypr, 7.43, 0.16, 0.73, areal, 163, 122, -544
2020-11-27_14-29-15-821, ypr, 7.49, 0.25, 0.75, areal, 220, 113, -534
2020-11-27_14-29-15-837, ypr, 7.60, 0.40, 0.80, areal, 244, 166, -573
2020-11-27_14-29-15-851, ypr, 7.64, 0.46, 0.84, areal, 223, 213, -624
2020-11-27_14-29-15-868, ypr, 7.72, 0.54, 0.87, areal, 122, 162, -626
2020-11-27_14-29-15-885, ypr, 7.80, 0.58, 0.91, areal, -112, 151, -769
2020-11-27_14-29-15-899, ypr, 7.84, 0.59, 0.92, areal, -226, 154, -883
2020-11-27_14-29-15-916, ypr, 7.93, 0.63, 0.96, areal, -356, 137, -973
2020-11-27_14-29-15-931, ypr, 7.97, 0.66, 0.96, areal, -395, 97, -896
2020-11-27_14-29-15-947, ypr, 8.09, 0.76, 1.01, areal, -382, 150, -879
2020-11-27_14-29-15-965, ypr, 8.19, 0.86, 1.05, areal, -473, 81, -1014
2020-11-27_14-29-15-985, ypr, 8.29, 0.97, 1.09, areal, -613, 33, -1248
2020-11-27_14-29-15-999, ypr, 8.33, 1.02, 1.10, areal, -714, 35, -1280
2020-11-27_14-29-16-017, ypr, 8.43, 1.13, 1.16, areal, -896, 135, -1218
2020-11-27_14-29-16-034, ypr, 8.53, 1.27, 1.27, areal, -962, 388, -1295
2020-11-27_14-29-16-049, ypr, 8.57, 1.35, 1.33, areal, -969, 439, -1395
2020-11-27_14-29-16-067, ypr, 8.64, 1.49, 1.39, areal, -993, 270, -1623
2020-11-27_14-29-16-084, ypr, 8.67, 1.59, 1.34, areal, -1149, -108, -1628
2020-11-27_14-29-16-100, ypr, 8.67, 1.64, 1.32, areal, -1220, -212, -1576
2020-11-27_14-29-16-118, ypr, 8.64, 1.73, 1.33, areal, -1457, -8, -1523
2020-11-27_14-29-16-135, ypr, 8.57, 1.84, 1.45, areal, -1427, 382, -1762
2020-11-27_14-29-16-151, ypr, 8.52, 1.92, 1.49, areal, -1282, 484, -2057
2020-11-27_14-29-16-168, ypr, 8.37, 2.06, 1.51, areal, -1108, 335, -2257
2020-11-27_14-29-16-186, ypr, 8.19, 2.22, 1.38, areal, -622, 133, -1675
2020-11-27_14-29-16-204, ypr, 7.96, 2.34, 1.39, areal, -331, 447, -1934
2020-11-27_14-29-16-219, ypr, 7.80, 2.39, 1.39, areal, -89, 535, -2177
2020-11-27_14-29-16-235, ypr, 7.43, 2.45, 1.30, areal, 244, 582, -2361
2020-11-27_14-29-16-251, ypr, 7.23, 2.44, 1.24, areal, 318, 659, -2093
2020-11-27_14-29-16-267, ypr, 6.84, 2.34, 1.11, areal, 178, 654, -1223
2020-11-27_14-29-16-286, ypr, 6.46, 2.18, 1.01, areal, -29, 297, -1511
2020-11-27_14-29-16-301, ypr, 6.25, 2.11, 0.94, areal, -73, 266, -1604
2020-11-27_14-29-16-318, ypr, 5.80, 1.97, 0.95, areal, -172, 866, -1047
2020-11-27_14-29-16-336, ypr, 5.35, 1.90, 1.04, areal, 220, 1147, -545
2020-11-27_14-29-16-350, ypr, 5.14, 1.87, 1.07, areal, 377, 1088, -521
2020-11-27_14-29-16-367, ypr, 4.71, 1.78, 1.17, areal, 253, 1215, -656
2020-11-27_14-29-16-385, ypr, 4.30, 1.71, 1.16, areal, 412, 729, -1181
2020-11-27_14-29-16-399, ypr, 4.12, 1.71, 1.11, areal, 374, 466, -1523
2020-11-27_14-29-16-415, ypr, 3.81, 1.72, 0.95, areal, 145, -156, -1575
2020-11-27_14-29-16-431, ypr, 3.70, 1.78, 0.85, areal, 60, -523, -1474
2020-11-27_14-29-16-448, ypr, 3.58, 2.00, 0.78, areal, -233, -259, -1657
2020-11-27_14-29-16-467, ypr, 3.50, 2.33, 1.00, areal, -439, 841, -1921
2020-11-27_14-29-16-482, ypr, 3.46, 2.54, 1.09, areal, -413, 993, -1591
2020-11-27_14-29-16-499, ypr, 3.43, 3.01, 1.16, areal, -419, 585, -931
2020-11-27_14-29-16-517, ypr, 3.48, 3.45, 1.05, areal, -915, -904, -1113
2020-11-27_14-29-16-534, ypr, 3.53, 4.21, 1.10, areal, -234, -589, -2590
2020-11-27_14-29-16-549, ypr, 3.52, 4.61, 1.18, areal, -79, -304, -2572
2020-11-27_14-29-16-567, ypr, 3.48, 5.36, 1.30, areal, 310, 321, -2336
2020-11-27_14-29-16-587, ypr, 3.31, 5.99, 1.61, areal, 415, 1491, -2838
2020-11-27_14-29-16-601, ypr, 3.19, 6.25, 1.65, areal, 419, 1410, -2222
