areal	-3	-21	-9
ypr	-0.00	0.14	0.11
areal	0	-19	-8
ypr	-0.00	0.13	0.11
areal	-1	-19	-17
ypr	-0.00	0.13	0.11
areal	-1	-19	-17
ypr	-0.00	0.13	0.11
areal	0	-16	-9
ypr	-0.00	0.13	0.11
areal	1	-15	-3
ypr	-0.00	0.13	0.11
areal	4	-15	-6
ypr	-0.00	0.14	0.11
areal	2	-17	-2
ypr	-0.00	0.14	0.11
areal	2	-13	-12
ypr	-0.00	0.14	0.11
areal	3	-12	-5
ypr	-0.00	0.14	0.11
areal	6	-13	-3
ypr	-0.00	0.14	0.11
areal	9	-10	-5
ypr	-0.00	0.14	0.10
areal	11	-14	0
ypr	-0.00	0.14	0.10
areal	11	-12	-2
ypr	-0.00	0.14	0.10
areal	10	-12	-6
ypr	-0.00	0.15	0.10
areal	9	-2	0
ypr	-0.00	0.15	0.10
areal	6	-5	1
ypr	-0.00	0.15	0.10
areal	9	-10	10
ypr	-0.00	0.15	0.10
areal	5	-12	18
ypr	-0.00	0.15	0.10
areal	7	-14	8
ypr	-0.00	0.15	0.10
areal	3	-14	5
ypr	-0.00	0.15	0.10
areal	5	-21	-2
ypr	-0.00	0.15	0.10
areal	3	-18	-6
ypr	-0.00	0.15	0.10
areal	5	-12	0
ypr	-0.00	0.15	0.10
areal	2	-14	2
ypr	-0.00	0.15	0.10
areal	4	-19	0
ypr	-0.00	0.15	0.09
areal	1	-21	0
ypr	-0.00	0.15	0.09
areal	-2	-20	0
ypr	-0.00	0.15	0.09
areal	3	-18	-2
ypr	-0.00	0.15	0.09
areal	3	-17	0
ypr	-0.00	0.15	0.09
areal	9	-13	-4
ypr	-0.00	0.15	0.09
areal	6	-18	0
ypr	-0.00	0.15	0.08
areal	7	-11	3
ypr	-0.00	0.15	0.08
areal	7	-5	3
ypr	-0.00	0.15	0.08
areal	9	0	0
ypr	-0.00	0.15	0.08
areal	4	-5	5
ypr	-0.00	0.15	0.08
areal	2	-3	2
ypr	-0.00	0.15	0.08
areal	3	-7	10
ypr	-0.00	0.15	0.08
areal	-3	-4	6
ypr	-0.00	0.15	0.08
areal	-3	-6	5
ypr	-0.00	0.15	0.08
areal	-1	-9	9
ypr	-0.00	0.15	0.08
areal	0	-8	2
ypr	-0.00	0.15	0.08
areal	2	-10	4
ypr	-0.00	0.15	0.08
areal	0	-12	-1
ypr	-0.00	0.15	0.08
areal	0	-13	0
ypr	-0.00	0.15	0.08
areal	3	-12	0
ypr	-0.00	0.15	0.08
areal	8	-6	0
ypr	-0.00	0.15	0.08
areal	11	-9	5
ypr	-0.00	0.15	0.08
areal	13	-5	3
ypr	-0.00	0.15	0.08
areal	11	-7	6
ypr	-0.00	0.15	0.08
areal	4	-10	10
ypr	-0.00	0.15	0.08
areal	8	-10	13
ypr	-0.00	0.15	0.08
areal	3	-10	1
ypr	-0.00	0.15	0.08
areal	0	-11	0
ypr	-0.00	0.15	0.08
areal	0	-8	0
ypr	-0.00	0.15	0.08
areal	-3	-9	-2
ypr	-0.00	0.15	0.08
areal	-7	-9	0
ypr	-0.00	0.15	0.08
areal	2	-7	3
ypr	-0.00	0.15	0.08
areal	6	-9	4
ypr	-0.00	0.15	0.08
areal	1	-14	2
ypr	-0.00	0.15	0.08
areal	6	-14	5
ypr	-0.00	0.16	0.07
areal	8	-11	5
ypr	-0.00	0.16	0.07
areal	5	-10	5
ypr	-0.00	0.16	0.07
areal	1	-12	-1
ypr	-0.00	0.16	0.07
areal	2	-12	3
ypr	-0.01	0.16	0.07
areal	1	-10	3
ypr	-0.01	0.16	0.07
areal	-1	-8	3
ypr	-0.01	0.15	0.07
areal	-2	-12	0
ypr	-0.01	0.15	0.07
areal	-1	-11	1
ypr	-0.01	0.16	0.07
areal	5	-15	-2
ypr	-0.01	0.16	0.06
areal	3	-17	-1
ypr	-0.01	0.16	0.07
areal	7	-10	3
ypr	-0.00	0.16	0.06
areal	9	-11	0
ypr	-0.01	0.16	0.06
areal	7	-5	-11
ypr	-0.01	0.16	0.07
areal	5	-5	0
ypr	-0.01	0.16	0.06
areal	6	-7	-1
ypr	-0.01	0.16	0.06
areal	5	-9	1
ypr	-0.00	0.16	0.06
areal	2	-10	4
ypr	-0.00	0.16	0.06
areal	4	-14	2
ypr	-0.00	0.16	0.06
areal	10	-15	4
ypr	-0.00	0.16	0.06
areal	9	-14	6
ypr	-0.01	0.16	0.06
areal	5	-11	1
ypr	-0.00	0.16	0.06
areal	2	-15	0
ypr	-0.00	0.16	0.06
areal	5	-10	-1
ypr	-0.00	0.16	0.06
areal	8	-9	-4
ypr	-0.00	0.16	0.06
areal	8	-18	-4
ypr	-0.00	0.17	0.06
areal	6	-17	-6
ypr	-0.01	0.17	0.06
areal	8	-17	0
ypr	-0.01	0.17	0.06
areal	5	-10	-1
ypr	-0.01	0.17	0.06
areal	5	-14	6
ypr	-0.01	0.17	0.06
areal	2	-6	3
ypr	-0.01	0.17	0.06
areal	4	-8	4
ypr	-0.01	0.17	0.06
areal	2	-7	4
ypr	-0.01	0.17	0.06
areal	9	-9	12
ypr	-0.01	0.17	0.06
areal	7	-10	10
ypr	-0.01	0.17	0.06
areal	8	-9	4
ypr	-0.00	0.17	0.06
areal	1	-11	7
ypr	-0.00	0.17	0.06
areal	3	-10	8
ypr	-0.01	0.17	0.05
areal	2	-9	8
ypr	-0.01	0.17	0.05
areal	1	-8	9
ypr	-0.00	0.17	0.05
areal	0	-6	6
ypr	-0.01	0.17	0.05
areal	-3	-10	4
ypr	-0.01	0.17	0.05
areal	-3	-10	10
ypr	-0.00	0.17	0.05
areal	0	-10	5
ypr	-0.00	0.17	0.05
areal	0	-12	8
ypr	-0.00	0.17	0.05
areal	4	-5	0
ypr	-0.00	0.17	0.05
areal	3	-6	-2
ypr	-0.00	0.17	0.05
areal	3	-3	0
ypr	-0.00	0.17	0.05
areal	5	-5	-2
ypr	-0.00	0.17	0.05
areal	5	-7	-4
ypr	-0.00	0.17	0.05
areal	3	-5	-4
ypr	-0.00	0.17	0.05
areal	5	-5	-5
ypr	-0.01	0.17	0.05
areal	2	-7	-2
ypr	-0.01	0.17	0.05
areal	-1	-11	-1
ypr	-0.01	0.17	0.05
areal	-3	-11	-1
ypr	-0.01	0.17	0.05
areal	-2	-12	0
ypr	-0.01	0.17	0.05
areal	-2	-14	-5
ypr	-0.01	0.17	0.04
areal	3	-9	-2
ypr	-0.01	0.17	0.05
areal	1	-11	3
ypr	-0.01	0.17	0.04
areal	9	-10	-5
ypr	-0.01	0.17	0.04
areal	5	-4	-3
ypr	-0.01	0.17	0.05
areal	1	2	2
ypr	-0.01	0.17	0.05
areal	2	-1	4
ypr	-0.01	0.17	0.05
areal	2	0	0
ypr	-0.01	0.17	0.05
areal	5	-5	4
ypr	-0.01	0.17	0.05
areal	5	-1	3
ypr	-0.01	0.17	0.05
areal	2	-2	7
ypr	-0.01	0.17	0.05
areal	-5	-7	6
ypr	-0.01	0.17	0.05
areal	-1	-7	8
ypr	-0.01	0.17	0.05
areal	3	-7	-1
ypr	-0.01	0.17	0.05
areal	4	-5	-8
ypr	-0.01	0.17	0.04
areal	2	-11	-10
ypr	-0.01	0.17	0.04
areal	0	-10	-8
ypr	-0.01	0.17	0.04
areal	-2	-9	-10
ypr	-0.01	0.17	0.04
areal	-5	-12	-6
ypr	-0.01	0.17	0.04
areal	-3	-8	0
ypr	-0.01	0.17	0.04
areal	-1	-3	-2
ypr	-0.01	0.17	0.04
areal	-1	-6	5
ypr	-0.01	0.17	0.04
areal	0	-4	0
ypr	-0.01	0.17	0.04
areal	0	-1	-2
ypr	-0.01	0.17	0.04
areal	-4	-2	4
ypr	-0.01	0.17	0.04
areal	1	-6	2
ypr	-0.01	0.17	0.04
areal	0	-8	2
ypr	-0.01	0.17	0.04
areal	0	-7	0
ypr	-0.01	0.17	0.04
areal	-1	-3	-9
ypr	-0.01	0.17	0.04
areal	0	-7	-11
ypr	-0.01	0.17	0.04
areal	1	-8	-1
ypr	-0.01	0.17	0.04
areal	-4	-5	-5
ypr	-0.01	0.17	0.04
areal	0	-5	-9
ypr	-0.01	0.17	0.03
areal	-4	-10	-1
ypr	-0.01	0.17	0.03
areal	-1	-3	2
ypr	-0.01	0.17	0.03
areal	-2	-7	4
ypr	-0.01	0.17	0.03
areal	-1	-6	7
ypr	-0.01	0.17	0.03
areal	0	-6	7
ypr	-0.01	0.17	0.03
areal	5	-6	3
ypr	-0.01	0.17	0.04
areal	0	-9	-5
ypr	-0.01	0.17	0.04
areal	-1	-3	-1
ypr	-0.01	0.17	0.04
areal	-3	-2	-2
ypr	-0.01	0.17	0.04
areal	-8	-7	3
ypr	-0.01	0.17	0.04
areal	-3	-10	-1
ypr	-0.01	0.17	0.03
areal	2	-9	-2
ypr	-0.01	0.17	0.03
areal	1	-8	1
ypr	-0.01	0.17	0.03
areal	0	-5	-1
ypr	-0.01	0.17	0.03
areal	-3	-1	-4
ypr	-0.01	0.17	0.03
areal	3	-1	7
ypr	-0.01	0.17	0.03
areal	2	-2	3
ypr	-0.01	0.17	0.03
areal	0	-4	7
ypr	-0.01	0.17	0.03
areal	0	-7	10
ypr	-0.01	0.17	0.03
areal	4	-5	-4
ypr	-0.01	0.17	0.03
areal	0	-4	-4
ypr	-0.01	0.17	0.03
areal	-1	0	-3
ypr	-0.01	0.17	0.03
areal	4	-3	-4
ypr	-0.01	0.17	0.03
areal	3	-2	-10
ypr	-0.01	0.17	0.03
areal	0	-6	-6
ypr	-0.01	0.17	0.03
areal	0	-6	-8
ypr	-0.01	0.17	0.03
areal	0	-3	-3
ypr	-0.01	0.17	0.03
areal	6	-11	4
ypr	-0.01	0.17	0.03
areal	5	-7	4
ypr	-0.01	0.17	0.03
areal	5	-5	1
ypr	-0.01	0.17	0.03
areal	9	-1	-3
ypr	-0.01	0.17	0.03
areal	7	0	-1
ypr	-0.01	0.17	0.03
areal	3	-5	2
ypr	-0.01	0.17	0.03
areal	2	-4	-2
ypr	-0.01	0.17	0.03
areal	1	-5	0
ypr	-0.01	0.17	0.03
areal	-3	-9	-4
ypr	-0.01	0.17	0.03
areal	-1	-6	0
ypr	-0.01	0.17	0.03
areal	-1	-9	-2
ypr	-0.01	0.17	0.03
areal	-3	-9	0
ypr	-0.01	0.17	0.03
areal	-2	-3	6
ypr	-0.01	0.17	0.03
areal	-3	-2	13
ypr	-0.01	0.17	0.03
areal	-1	-5	3
ypr	-0.01	0.17	0.03
areal	-1	-10	-4
ypr	-0.01	0.17	0.03
areal	-2	-7	-3
ypr	-0.01	0.17	0.03
areal	-1	-1	-3
ypr	-0.01	0.17	0.03
areal	3	-6	-1
ypr	-0.01	0.17	0.03
areal	5	-3	0
ypr	-0.01	0.17	0.03
areal	4	-1	0
ypr	-0.01	0.17	0.03
areal	1	-7	6
ypr	-0.01	0.17	0.03
areal	3	-8	2
ypr	-0.01	0.17	0.03
areal	8	-4	5
ypr	-0.01	0.17	0.03
areal	4	-3	7
ypr	-0.01	0.17	0.03
areal	1	-5	4
ypr	-0.01	0.17	0.03
areal	2	-5	7
ypr	-0.01	0.17	0.03
areal	1	-3	6
ypr	-0.01	0.17	0.03
areal	5	-4	0
ypr	-0.01	0.17	0.03
areal	4	-5	4
ypr	-0.01	0.17	0.03
areal	3	-6	2
ypr	-0.01	0.17	0.03
areal	6	-10	3
ypr	-0.01	0.18	0.03
areal	8	-11	0
ypr	-0.01	0.18	0.03
areal	2	-6	0
ypr	-0.01	0.18	0.03
areal	-1	-3	-1
ypr	-0.01	0.18	0.03
areal	-2	-5	-3
ypr	-0.01	0.18	0.03
areal	2	-5	-7
ypr	-0.01	0.17	0.03
areal	0	-4	-3
ypr	-0.01	0.17	0.03
areal	-6	-1	-5
ypr	-0.01	0.17	0.03
areal	-2	0	-9
ypr	-0.01	0.17	0.03
areal	-4	-1	-6
ypr	-0.01	0.17	0.03
areal	-4	-5	-4
ypr	-0.01	0.17	0.03
areal	1	-8	-18
ypr	-0.01	0.17	0.03
areal	1	-9	-18
ypr	-0.01	0.17	0.03
areal	-1	-5	-13
ypr	-0.01	0.17	0.03
areal	3	-1	-7
ypr	-0.01	0.18	0.03
areal	2	0	3
ypr	-0.01	0.18	0.03
areal	1	1	5
ypr	-0.01	0.18	0.03
areal	1	-7	2
ypr	-0.01	0.18	0.03
areal	0	-3	6
ypr	-0.01	0.18	0.03
areal	0	0	10
ypr	-0.01	0.17	0.03
areal	-7	1	13
ypr	-0.01	0.17	0.03
areal	-5	3	8
ypr	-0.01	0.17	0.03
areal	-8	0	9
ypr	-0.01	0.17	0.03
areal	-8	1	12
ypr	-0.01	0.17	0.03
areal	-9	-1	12
ypr	-0.01	0.17	0.03
areal	1	-6	2
ypr	-0.01	0.17	0.03
areal	0	-7	-1
ypr	-0.01	0.17	0.03
areal	-1	-1	-1
ypr	-0.01	0.17	0.03
areal	0	0	-3
ypr	-0.01	0.17	0.03
areal	2	0	2
ypr	-0.01	0.17	0.03
areal	0	-3	0
ypr	-0.01	0.17	0.03
areal	2	-3	0
ypr	-0.01	0.17	0.03
areal	-3	0	-7
ypr	-0.01	0.17	0.03
areal	-7	-5	-12
ypr	-0.01	0.17	0.03
areal	-5	-5	-8
ypr	-0.01	0.17	0.03
areal	-4	-5	4
ypr	-0.01	0.17	0.03
areal	-7	1	13
ypr	-0.01	0.17	0.03
areal	-3	1	11
ypr	-0.01	0.17	0.03
areal	0	0	13
ypr	-0.01	0.17	0.03
areal	0	-1	11
ypr	-0.01	0.17	0.03
areal	5	-1	12
ypr	-0.01	0.17	0.03
areal	7	-6	1
ypr	-0.01	0.17	0.03
areal	4	-7	7
ypr	-0.01	0.17	0.03
areal	0	-10	5
ypr	-0.01	0.17	0.03
areal	4	-11	4
ypr	-0.01	0.17	0.03
areal	1	-13	0
ypr	-0.01	0.17	0.03
areal	-1	-12	-2
ypr	-0.01	0.17	0.03
areal	0	-9	0
ypr	-0.01	0.17	0.03
areal	0	-9	10
ypr	-0.01	0.17	0.03
areal	0	-7	1
ypr	-0.01	0.17	0.03
areal	2	-2	3
ypr	-0.01	0.17	0.03
areal	1	-1	5
ypr	-0.01	0.17	0.03
areal	0	0	3
ypr	-0.01	0.17	0.03
areal	2	-1	5
ypr	-0.01	0.17	0.03
areal	6	-4	9
ypr	-0.01	0.17	0.03
areal	0	1	9
ypr	-0.01	0.17	0.03
areal	0	0	9
ypr	-0.01	0.17	0.03
areal	3	0	8
ypr	-0.01	0.17	0.03
areal	7	-10	9
ypr	-0.01	0.17	0.03
areal	5	-9	11
ypr	-0.01	0.17	0.03
areal	5	-7	5
ypr	-0.01	0.17	0.03
areal	6	-6	0
ypr	-0.01	0.17	0.03
areal	4	-5	-2
ypr	-0.01	0.17	0.03
areal	4	-3	-4
ypr	-0.01	0.17	0.03
areal	0	-2	0
ypr	-0.01	0.17	0.03
areal	0	-3	-1
ypr	-0.01	0.17	0.03
areal	1	-3	0
ypr	-0.01	0.17	0.03
areal	3	-7	1
ypr	-0.01	0.17	0.03
areal	4	-5	2
ypr	-0.01	0.17	0.03
areal	6	-6	4
ypr	-0.01	0.17	0.03
areal	7	-5	2
ypr	-0.01	0.17	0.03
areal	13	-3	5
ypr	-0.01	0.17	0.03
areal	5	-2	6
ypr	-0.01	0.18	0.03
areal	2	-5	11
ypr	-0.01	0.18	0.03
areal	0	-5	10
ypr	-0.01	0.17	0.03
areal	-2	-8	8
ypr	-0.01	0.18	0.03
areal	-3	-8	5
ypr	-0.01	0.18	0.03
areal	-3	-3	7
ypr	-0.01	0.18	0.03
areal	1	0	10
ypr	-0.01	0.18	0.03
areal	-1	-1	7
ypr	-0.01	0.18	0.03
areal	0	-4	8
ypr	-0.01	0.18	0.03
areal	1	-4	8
ypr	-0.01	0.18	0.03
areal	-6	-3	6
ypr	-0.01	0.17	0.03
areal	-7	-4	11
ypr	-0.01	0.17	0.03
areal	-4	-3	12
ypr	-0.01	0.17	0.03
areal	-6	-7	8
ypr	-0.01	0.17	0.03
areal	-4	-10	-2
ypr	-0.01	0.17	0.03
areal	-6	-8	0
ypr	-0.01	0.17	0.03
areal	-6	-3	0
ypr	-0.01	0.17	0.03
areal	-3	-2	0
ypr	-0.01	0.17	0.03
areal	-5	-3	-3
ypr	-0.01	0.17	0.03
areal	-4	0	-4
ypr	-0.01	0.17	0.03
areal	-4	-1	-5
ypr	-0.01	0.17	0.03
areal	0	-4	-10
ypr	-0.01	0.17	0.03
areal	-2	-5	-12
ypr	-0.01	0.17	0.03
areal	0	-2	-3
ypr	-0.01	0.17	0.03
areal	0	-6	2
ypr	-0.01	0.17	0.03
areal	0	-4	1
ypr	-0.01	0.17	0.03
areal	2	-6	2
ypr	-0.01	0.17	0.03
areal	8	-8	4
ypr	-0.01	0.17	0.03
areal	10	-9	3
ypr	-0.01	0.17	0.03
areal	3	-2	6
ypr	-0.01	0.17	0.03
areal	1	-8	11
ypr	-0.01	0.17	0.03
areal	-1	-8	7
ypr	-0.01	0.17	0.03
areal	-1	-7	10
ypr	-0.01	0.17	0.03
areal	2	-4	8
ypr	-0.01	0.17	0.03
areal	4	-6	7
ypr	-0.01	0.17	0.03
areal	6	-5	15
ypr	-0.01	0.17	0.03
areal	5	-2	8
ypr	-0.01	0.17	0.03
areal	4	-6	6
ypr	-0.01	0.17	0.03
areal	0	-2	3
ypr	-0.01	0.17	0.03
areal	2	0	3
ypr	-0.01	0.17	0.03
areal	7	-3	-1
ypr	-0.01	0.18	0.03
areal	7	-6	-1
ypr	-0.01	0.18	0.03
areal	8	-4	2
ypr	-0.01	0.18	0.03
areal	8	-6	2
ypr	-0.01	0.18	0.03
areal	6	-6	0
ypr	-0.01	0.18	0.03
areal	2	-4	0
ypr	-0.01	0.18	0.03
areal	3	-5	-9
ypr	-0.01	0.18	0.03
areal	2	-4	-7
ypr	-0.01	0.18	0.03
areal	1	-6	-6
ypr	-0.01	0.18	0.03
areal	-1	-3	-1
ypr	-0.01	0.18	0.03
areal	3	1	10
ypr	-0.01	0.18	0.03
areal	5	-1	2
ypr	-0.01	0.18	0.03
areal	1	0	-3
ypr	-0.01	0.18	0.03
areal	-1	0	0
ypr	-0.01	0.18	0.03
areal	-1	-4	2
ypr	-0.01	0.18	0.03
areal	-4	-6	-2
ypr	-0.01	0.18	0.03
areal	-5	-8	-4
ypr	-0.01	0.18	0.03
areal	-8	-4	4
ypr	-0.01	0.18	0.03
areal	-8	2	1
ypr	-0.01	0.18	0.03
areal	-3	-2	6
ypr	-0.01	0.18	0.03
areal	0	0	13
ypr	-0.01	0.18	0.03
areal	-2	0	12
ypr	-0.01	0.18	0.03
areal	0	0	14
ypr	-0.01	0.18	0.03
areal	4	-2	12
ypr	-0.01	0.18	0.03
areal	1	-2	15
ypr	-0.01	0.18	0.03
areal	0	-1	14
ypr	-0.01	0.18	0.03
areal	0	-4	8
ypr	-0.01	0.18	0.03
areal	0	-4	6
ypr	-0.01	0.18	0.03
areal	2	-4	-1
ypr	-0.01	0.18	0.03
areal	-2	-5	3
ypr	-0.01	0.18	0.03
areal	-3	0	0
ypr	-0.01	0.18	0.03
areal	0	0	-5
ypr	-0.01	0.18	0.03
