2020-11-27_14-39-34-812, ypr, -55.66, -4.64, -0.58, areal, 59, 16, -23
2020-11-27_14-39-34-830, ypr, -55.64, -4.63, -0.57, areal, 54, 17, -24
2020-11-27_14-39-34-848, ypr, -55.64, -4.63, -0.58, areal, 50, 13, -24
2020-11-27_14-39-34-866, ypr, -55.63, -4.62, -0.57, areal, 40, 11, -28
2020-11-27_14-39-34-882, ypr, -55.63, -4.62, -0.57, areal, 40, 10, -34
2020-11-27_14-39-34-900, ypr, -55.62, -4.62, -0.57, areal, 44, 9, -18
2020-11-27_14-39-34-917, ypr, -55.61, -4.62, -0.57, areal, 49, 16, -17
2020-11-27_14-39-34-935, ypr, -55.61, -4.62, -0.57, areal, 45, 6, -23
2020-11-27_14-39-34-951, ypr, -55.61, -4.62, -0.57, areal, 41, 1, -25
2020-11-27_14-39-34-968, ypr, -55.61, -4.63, -0.57, areal, 31, -1, -21
2020-11-27_14-39-34-987, ypr, -55.61, -4.64, -0.58, areal, 19, 6, -17
2020-11-27_14-39-35-008, ypr, -55.61, -4.65, -0.58, areal, 22, 0, -16
2020-11-27_14-39-35-026, ypr, -55.61, -4.65, -0.58, areal, 26, 0, -9
2020-11-27_14-39-35-041, ypr, -55.61, -4.65, -0.58, areal, 23, 2, -10
2020-11-27_14-39-35-059, ypr, -55.61, -4.66, -0.58, areal, 12, -2, -5
2020-11-27_14-39-35-077, ypr, -55.61, -4.67, -0.58, areal, 4, 5, -11
2020-11-27_14-39-35-095, ypr, -55.61, -4.67, -0.58, areal, 2, 12, -14
2020-11-27_14-39-35-111, ypr, -55.61, -4.67, -0.59, areal, 1, 9, -11
2020-11-27_14-39-35-129, ypr, -55.60, -4.67, -0.59, areal, 0, 0, -8
2020-11-27_14-39-35-146, ypr, -55.60, -4.68, -0.58, areal, -1, -1, -11
2020-11-27_14-39-35-163, ypr, -55.60, -4.68, -0.58, areal, 3, -4, -11
2020-11-27_14-39-35-181, ypr, -55.61, -4.68, -0.58, areal, 7, 1, -13
2020-11-27_14-39-35-199, ypr, -55.61, -4.68, -0.58, areal, 25, 3, -6
2020-11-27_14-39-35-216, ypr, -55.61, -4.69, -0.59, areal, 34, -5, -5
2020-11-27_14-39-35-232, ypr, -55.62, -4.69, -0.59, areal, 37, -5, -4
2020-11-27_14-39-35-251, ypr, -55.64, -4.71, -0.59, areal, 33, -2, -11
2020-11-27_14-39-35-269, ypr, -55.67, -4.74, -0.59, areal, 28, 10, -6
2020-11-27_14-39-35-286, ypr, -55.70, -4.78, -0.60, areal, 21, 8, -21
2020-11-27_14-39-35-309, ypr, -55.74, -4.81, -0.61, areal, 29, 2, -18
2020-11-27_14-39-35-327, ypr, -55.76, -4.84, -0.62, areal, 32, -4, -20
2020-11-27_14-39-35-343, ypr, -55.78, -4.85, -0.62, areal, 39, 0, -8
2020-11-27_14-39-35-361, ypr, -55.80, -4.88, -0.62, areal, 50, 16, 0
2020-11-27_14-39-35-378, ypr, -55.84, -4.90, -0.62, areal, 48, 3, 12
2020-11-27_14-39-35-395, ypr, -55.87, -4.94, -0.63, areal, 39, -6, 0
2020-11-27_14-39-35-411, ypr, -55.89, -4.96, -0.64, areal, 36, -3, -3
2020-11-27_14-39-35-429, ypr, -55.94, -4.99, -0.64, areal, 35, 10, 4
2020-11-27_14-39-35-447, ypr, -55.97, -5.03, -0.64, areal, 58, 19, 1
2020-11-27_14-39-35-462, ypr, -55.99, -5.04, -0.65, areal, 66, 18, -4
2020-11-27_14-39-35-479, ypr, -56.03, -5.06, -0.66, areal, 85, 4, -14
2020-11-27_14-39-35-497, ypr, -56.07, -5.08, -0.66, areal, 98, 12, -17
2020-11-27_14-39-35-513, ypr, -56.08, -5.09, -0.66, areal, 98, 22, -17
2020-11-27_14-39-35-531, ypr, -56.10, -5.09, -0.66, areal, 92, 27, -26
2020-11-27_14-39-35-548, ypr, -56.12, -5.09, -0.66, areal, 87, 12, -21
2020-11-27_14-39-35-566, ypr, -56.13, -5.07, -0.65, areal, 91, 11, -13
2020-11-27_14-39-35-582, ypr, -56.13, -5.05, -0.65, areal, 99, 17, -16
2020-11-27_14-39-35-599, ypr, -56.14, -5.02, -0.64, areal, 112, 25, -7
2020-11-27_14-39-35-621, ypr, -56.15, -5.00, -0.64, areal, 124, 16, -16
2020-11-27_14-39-35-639, ypr, -56.15, -4.97, -0.63, areal, 132, 9, 1
2020-11-27_14-39-35-656, ypr, -56.16, -4.96, -0.63, areal, 139, 20, 3
2020-11-27_14-39-35-673, ypr, -56.17, -4.95, -0.63, areal, 139, 25, 11
2020-11-27_14-39-35-690, ypr, -56.19, -4.93, -0.62, areal, 148, 20, 22
2020-11-27_14-39-35-709, ypr, -56.21, -4.92, -0.63, areal, 153, 7, 32
2020-11-27_14-39-35-727, ypr, -56.24, -4.93, -0.63, areal, 171, 10, 28
2020-11-27_14-39-35-742, ypr, -56.25, -4.93, -0.63, areal, 183, 16, 43
2020-11-27_14-39-35-761, ypr, -56.28, -4.94, -0.63, areal, 241, 28, 65
2020-11-27_14-39-35-778, ypr, -56.33, -4.96, -0.63, areal, 309, 37, 98
2020-11-27_14-39-35-796, ypr, -56.40, -5.01, -0.65, areal, 346, 29, 120
2020-11-27_14-39-35-812, ypr, -56.44, -5.05, -0.65, areal, 357, 28, 124
2020-11-27_14-39-35-830, ypr, -56.54, -5.17, -0.67, areal, 349, 32, 123
2020-11-27_14-39-35-848, ypr, -56.69, -5.35, -0.70, areal, 322, 38, 130
2020-11-27_14-39-35-866, ypr, -56.86, -5.58, -0.75, areal, 300, 28, 135
2020-11-27_14-39-35-882, ypr, -56.97, -5.71, -0.77, areal, 302, 22, 126
2020-11-27_14-39-35-899, ypr, -57.21, -6.01, -0.83, areal, 329, 32, 103
2020-11-27_14-39-35-918, ypr, -57.49, -6.36, -0.89, areal, 359, 50, 77
2020-11-27_14-39-35-936, ypr, -57.82, -6.74, -0.95, areal, 411, 66, 44
2020-11-27_14-39-35-952, ypr, -57.99, -6.96, -0.98, areal, 409, 80, 27
2020-11-27_14-39-35-970, ypr, -58.37, -7.41, -1.04, areal, 456, 118, -3
2020-11-27_14-39-35-988, ypr, -58.78, -7.87, -1.11, areal, 562, 118, -20
2020-11-27_14-39-36-006, ypr, -59.20, -8.32, -1.18, areal, 738, 125, -48
2020-11-27_14-39-36-022, ypr, -59.40, -8.55, -1.21, areal, 794, 137, -70
2020-11-27_14-39-36-040, ypr, -59.84, -9.02, -1.26, areal, 935, 208, -85
2020-11-27_14-39-36-058, ypr, -60.29, -9.47, -1.31, areal, 1094, 224, -71
2020-11-27_14-39-36-076, ypr, -60.74, -9.91, -1.36, areal, 1251, 232, -86
2020-11-27_14-39-36-091, ypr, -60.96, -10.12, -1.37, areal, 1304, 231, -96
2020-11-27_14-39-36-113, ypr, -61.38, -10.53, -1.40, areal, 1351, 263, -148
2020-11-27_14-39-36-132, ypr, -61.78, -10.91, -1.42, areal, 1392, 287, -150
2020-11-27_14-39-36-153, ypr, -62.17, -11.27, -1.43, areal, 1438, 314, -124
2020-11-27_14-39-36-171, ypr, -62.53, -11.60, -1.44, areal, 1496, 303, -113
2020-11-27_14-39-36-188, ypr, -62.88, -11.90, -1.45, areal, 1559, 280, -96
2020-11-27_14-39-36-207, ypr, -63.22, -12.19, -1.46, areal, 1618, 259, -22
2020-11-27_14-39-36-224, ypr, -63.39, -12.34, -1.47, areal, 1642, 263, 13
2020-11-27_14-39-36-245, ypr, -63.90, -12.77, -1.47, areal, 1674, 256, 91
2020-11-27_14-39-36-261, ypr, -64.08, -12.91, -1.47, areal, 1685, 228, 115
2020-11-27_14-39-36-278, ypr, -64.43, -13.20, -1.49, areal, 1684, 172, 157
2020-11-27_14-39-36-296, ypr, -64.78, -13.50, -1.49, areal, 1680, 173, 193
2020-11-27_14-39-36-311, ypr, -64.95, -13.64, -1.50, areal, 1684, 175, 221
2020-11-27_14-39-36-328, ypr, -65.29, -13.91, -1.50, areal, 1711, 181, 269
2020-11-27_14-39-36-346, ypr, -65.64, -14.16, -1.51, areal, 1768, 138, 316
2020-11-27_14-39-36-361, ypr, -65.79, -14.27, -1.52, areal, 1798, 135, 335
2020-11-27_14-39-36-378, ypr, -66.11, -14.51, -1.53, areal, 1754, 119, 349
2020-11-27_14-39-36-393, ypr, -66.26, -14.61, -1.53, areal, 1738, 126, 366
2020-11-27_14-39-36-410, ypr, -66.56, -14.79, -1.53, areal, 1736, 121, 387
2020-11-27_14-39-36-428, ypr, -66.82, -14.94, -1.53, areal, 1752, 130, 384
2020-11-27_14-39-36-443, ypr, -66.95, -15.00, -1.53, areal, 1761, 117, 416
2020-11-27_14-39-36-460, ypr, -67.19, -15.07, -1.51, areal, 1756, 122, 440
2020-11-27_14-39-36-478, ypr, -67.39, -15.10, -1.51, areal, 1758, 113, 448
2020-11-27_14-39-36-493, ypr, -67.48, -15.09, -1.51, areal, 1761, 106, 466
2020-11-27_14-39-36-510, ypr, -67.63, -15.03, -1.51, areal, 1751, 91, 510
