2020-11-27_14-53-35-205, ypr, 102.75, -6.34, 0.73, areal, 470, 468, -1492
2020-11-27_14-53-35-225, ypr, 102.65, -6.10, 1.00, areal, 495, 1022, -1529
2020-11-27_14-53-35-240, ypr, 102.58, -6.01, 1.03, areal, 576, 749, -1181
2020-11-27_14-53-35-258, ypr, 102.42, -5.80, 1.07, areal, 1021, 471, -1715
2020-11-27_14-53-35-275, ypr, 102.18, -5.69, 0.87, areal, 1254, -487, -1343
2020-11-27_14-53-35-291, ypr, 102.04, -5.63, 0.79, areal, 1336, -486, -998
2020-11-27_14-53-35-308, ypr, 101.74, -5.63, 0.89, areal, 1222, 256, -1274
2020-11-27_14-53-35-325, ypr, 101.35, -5.70, 1.02, areal, 1347, 960, -1985
2020-11-27_14-53-35-340, ypr, 101.15, -5.74, 1.07, areal, 1409, 1247, -2308
2020-11-27_14-53-35-358, ypr, 100.74, -5.96, 0.93, areal, 999, 632, -934
2020-11-27_14-53-35-375, ypr, 100.36, -6.18, 0.75, areal, 1049, 83, -572
2020-11-27_14-53-35-390, ypr, 100.13, -6.32, 0.72, areal, 1156, 123, -784
2020-11-27_14-53-35-407, ypr, 99.64, -6.56, 0.73, areal, 1568, 675, -1208
2020-11-27_14-53-35-424, ypr, 99.11, -6.84, 0.69, areal, 1533, 433, -800
2020-11-27_14-53-35-439, ypr, 98.89, -7.01, 0.59, areal, 1456, -40, -750
2020-11-27_14-53-35-457, ypr, 98.43, -7.40, 0.45, areal, 1295, -18, -1365
2020-11-27_14-53-35-474, ypr, 97.95, -7.80, 0.48, areal, 1051, 464, -537
2020-11-27_14-53-35-489, ypr, 97.71, -7.97, 0.48, areal, 1099, 415, -13
2020-11-27_14-53-35-507, ypr, 97.20, -8.26, 0.69, areal, 1636, 1249, -1166
2020-11-27_14-53-35-528, ypr, 96.68, -8.63, 0.81, areal, 1840, 1129, -1473
2020-11-27_14-53-35-545, ypr, 96.21, -9.00, 0.57, areal, 2045, -173, -1214
2020-11-27_14-53-35-561, ypr, 95.98, -9.21, 0.41, areal, 2013, -738, -1103
2020-11-27_14-53-35-580, ypr, 95.53, -9.63, 0.30, areal, 2187, -225, -1284
2020-11-27_14-53-35-597, ypr, 95.03, -10.12, 0.47, areal, 2063, 801, -1567
2020-11-27_14-53-35-615, ypr, 94.52, -10.53, 0.53, areal, 2504, 1083, -1276
2020-11-27_14-53-35-634, ypr, 94.09, -10.94, 0.55, areal, 2612, 630, -1063
2020-11-27_14-53-35-649, ypr, 93.90, -11.15, 0.47, areal, 2800, 302, -1239
2020-11-27_14-53-35-666, ypr, 93.57, -11.59, 0.41, areal, 2815, 350, -1471
2020-11-27_14-53-35-685, ypr, 93.27, -12.02, 0.36, areal, 3018, 364, -1113
2020-11-27_14-53-35-700, ypr, 93.15, -12.18, 0.40, areal, 3012, 589, -1110
2020-11-27_14-53-35-718, ypr, 92.95, -12.51, 0.46, areal, 2674, 405, -142
2020-11-27_14-53-35-736, ypr, 92.85, -12.69, 0.62, areal, 3221, 644, -1017
2020-11-27_14-53-35-751, ypr, 92.83, -12.74, 0.75, areal, 3399, 782, -2065
2020-11-27_14-53-35-770, ypr, 92.90, -12.88, 0.77, areal, 3106, 775, -2016
2020-11-27_14-53-35-787, ypr, 93.09, -12.86, 0.94, areal, 2480, 836, -912
2020-11-27_14-53-35-804, ypr, 93.49, -12.66, 0.93, areal, 2551, -278, -1216
2020-11-27_14-53-35-821, ypr, 93.78, -12.44, 0.92, areal, 2657, -535, -1487
2020-11-27_14-53-35-844, ypr, 94.80, -11.62, 1.37, areal, 2058, 1382, -2598
2020-11-27_14-53-35-859, ypr, 95.15, -11.30, 1.67, areal, 1662, 2081, -2796
2020-11-27_14-53-35-876, ypr, 95.93, -10.64, 2.01, areal, 1063, 2085, -2988
2020-11-27_14-53-35-894, ypr, 96.74, -9.78, 2.26, areal, 1028, 2222, -2224
2020-11-27_14-53-35-909, ypr, 97.13, -9.37, 2.35, areal, 569, 1860, -595
2020-11-27_14-53-35-926, ypr, 97.88, -8.64, 2.38, areal, 243, 83, -1371
2020-11-27_14-53-35-941, ypr, 98.20, -8.24, 2.32, areal, 608, -624, -2736
2020-11-27_14-53-35-959, ypr, 98.78, -7.40, 2.13, areal, 600, -1083, -3015
2020-11-27_14-53-35-976, ypr, 99.26, -6.63, 2.26, areal, -304, -79, 721
2020-11-27_14-53-35-994, ypr, 99.58, -6.02, 2.91, areal, -796, 1520, 90
2020-11-27_14-53-36-009, ypr, 99.70, -5.62, 3.38, areal, -198, 1930, -3342
2020-11-27_14-53-36-027, ypr, 99.97, -4.85, 3.29, areal, -140, -464, -5281
2020-11-27_14-53-36-045, ypr, 100.20, -4.01, 2.79, areal, -89, -1954, -3908
2020-11-27_14-53-36-061, ypr, 100.24, -3.60, 2.61, areal, -213, -1907, -1826
2020-11-27_14-53-36-079, ypr, 100.20, -2.99, 2.55, areal, -703, -1076, -60
2020-11-27_14-53-36-097, ypr, 99.97, -2.24, 3.17, areal, -99, 1782, -3743
2020-11-27_14-53-36-119, ypr, 99.68, -1.72, 3.03, areal, -878, 699, 220
2020-11-27_14-53-36-137, ypr, 99.32, -1.25, 3.01, areal, -1033, -484, 1280
2020-11-27_14-53-36-155, ypr, 98.84, -0.75, 2.49, areal, -852, -2559, -380
2020-11-27_14-53-36-174, ypr, 98.18, -0.29, 2.18, areal, -299, -2825, -2002
2020-11-27_14-53-36-190, ypr, 97.83, -0.05, 1.86, areal, -173, -2903, -2213
2020-11-27_14-53-36-209, ypr, 97.05, 0.13, 2.18, areal, -1202, 2157, -650
2020-11-27_14-53-36-227, ypr, 96.17, 0.22, 2.44, areal, -1520, 2045, 2660
2020-11-27_14-53-36-244, ypr, 95.23, 0.48, 2.31, areal, -787, 369, 865
2020-11-27_14-53-36-260, ypr, 94.72, 0.57, 2.04, areal, -677, -1614, 882
2020-11-27_14-53-36-277, ypr, 93.59, 0.58, 1.26, areal, -1016, -2730, -521
2020-11-27_14-53-36-295, ypr, 92.28, 0.49, 1.23, areal, -1105, -1177, -833
2020-11-27_14-53-36-310, ypr, 91.58, 0.46, 0.87, areal, -753, -1513, -953
2020-11-27_14-53-36-328, ypr, 90.25, 0.60, 0.60, areal, 252, -441, -4390
2020-11-27_14-53-36-345, ypr, 88.79, 0.34, -0.53, areal, -580, -1850, -192
2020-11-27_14-53-36-361, ypr, 88.05, 0.07, -0.60, areal, -983, 158, 1520
