2020-11-27_14-40-34-749, ypr, -110.01, 10.36, -3.34, areal, 261, 111, 984
2020-11-27_14-40-34-766, ypr, -109.90, 10.54, -3.31, areal, 138, 147, 908
2020-11-27_14-40-34-781, ypr, -109.84, 10.64, -3.30, areal, 125, 168, 866
2020-11-27_14-40-34-798, ypr, -109.68, 10.87, -3.26, areal, 107, 146, 883
2020-11-27_14-40-34-815, ypr, -109.48, 11.14, -3.22, areal, 82, 72, 941
2020-11-27_14-40-34-830, ypr, -109.37, 11.30, -3.18, areal, 84, 90, 925
2020-11-27_14-40-34-847, ypr, -109.09, 11.67, -3.07, areal, 71, 171, 876
2020-11-27_14-40-34-864, ypr, -108.72, 12.14, -2.92, areal, 56, 191, 890
2020-11-27_14-40-34-879, ypr, -108.52, 12.40, -2.84, areal, 17, 155, 894
2020-11-27_14-40-34-897, ypr, -108.02, 13.00, -2.65, areal, -117, 110, 874
2020-11-27_14-40-34-918, ypr, -107.40, 13.71, -2.38, areal, -345, 107, 866
2020-11-27_14-40-34-935, ypr, -106.66, 14.55, -2.04, areal, -465, 74, 918
2020-11-27_14-40-34-950, ypr, -106.24, 15.02, -1.85, areal, -462, 25, 949
2020-11-27_14-40-34-969, ypr, -105.32, 16.06, -1.42, areal, -505, -57, 958
2020-11-27_14-40-34-987, ypr, -104.30, 17.16, -0.94, areal, -609, -126, 1041
2020-11-27_14-40-35-007, ypr, -103.23, 18.30, -0.41, areal, -653, -219, 1280
2020-11-27_14-40-35-025, ypr, -102.11, 19.47, 0.16, areal, -678, -357, 1393
2020-11-27_14-40-35-040, ypr, -101.54, 20.05, 0.46, areal, -796, -468, 1404
2020-11-27_14-40-35-059, ypr, -100.36, 21.16, 1.09, areal, -1125, -640, 1410
2020-11-27_14-40-35-077, ypr, -99.13, 22.25, 1.79, areal, -1438, -618, 1462
2020-11-27_14-40-35-092, ypr, -98.51, 22.79, 2.17, areal, -1541, -575, 1524
2020-11-27_14-40-35-111, ypr, -97.22, 23.84, 2.99, areal, -1763, -591, 1539
2020-11-27_14-40-35-129, ypr, -95.93, 24.85, 3.81, areal, -2038, -800, 1446
2020-11-27_14-40-35-147, ypr, -94.64, 25.83, 4.64, areal, -2343, -860, 1342
