2020-11-27_14-39-01-810, ypr, 13.95, 0.67, -0.66, areal, 419, 115, 62
2020-11-27_14-39-01-831, ypr, 13.97, 0.78, -0.64, areal, 449, 126, 41
2020-11-27_14-39-01-849, ypr, 13.99, 0.88, -0.62, areal, 459, 125, 30
2020-11-27_14-39-01-864, ypr, 14.00, 0.93, -0.61, areal, 461, 126, 19
2020-11-27_14-39-01-883, ypr, 14.01, 1.02, -0.59, areal, 468, 142, 0
2020-11-27_14-39-01-901, ypr, 14.02, 1.11, -0.57, areal, 488, 170, -42
2020-11-27_14-39-01-920, ypr, 14.03, 1.19, -0.54, areal, 500, 186, -83
2020-11-27_14-39-01-939, ypr, 14.03, 1.26, -0.53, areal, 510, 171, -105
2020-11-27_14-39-01-955, ypr, 14.03, 1.29, -0.52, areal, 541, 185, -137
2020-11-27_14-39-01-974, ypr, 14.03, 1.36, -0.49, areal, 636, 225, -210
2020-11-27_14-39-01-992, ypr, 14.02, 1.43, -0.45, areal, 738, 290, -258
2020-11-27_14-39-02-010, ypr, 14.01, 1.47, -0.42, areal, 803, 319, -320
2020-11-27_14-39-02-026, ypr, 14.00, 1.49, -0.40, areal, 819, 324, -375
2020-11-27_14-39-02-044, ypr, 13.99, 1.53, -0.36, areal, 808, 331, -463
2020-11-27_14-39-02-063, ypr, 14.01, 1.56, -0.32, areal, 734, 365, -552
2020-11-27_14-39-02-081, ypr, 14.03, 1.59, -0.25, areal, 696, 424, -653
2020-11-27_14-39-02-099, ypr, 14.07, 1.65, -0.18, areal, 644, 440, -740
2020-11-27_14-39-02-115, ypr, 14.10, 1.68, -0.15, areal, 621, 428, -773
2020-11-27_14-39-02-140, ypr, 14.21, 1.81, -0.04, areal, 555, 431, -934
2020-11-27_14-39-02-156, ypr, 14.27, 1.86, 0.01, areal, 539, 448, -989
2020-11-27_14-39-02-173, ypr, 14.40, 1.99, 0.12, areal, 479, 504, -1004
2020-11-27_14-39-02-192, ypr, 14.55, 2.16, 0.25, areal, 431, 586, -1078
2020-11-27_14-39-02-210, ypr, 14.73, 2.34, 0.41, areal, 355, 588, -1152
2020-11-27_14-39-02-230, ypr, 14.92, 2.55, 0.55, areal, 366, 531, -1344
2020-11-27_14-39-02-245, ypr, 15.02, 2.66, 0.62, areal, 376, 522, -1464
2020-11-27_14-39-02-265, ypr, 15.21, 2.88, 0.76, areal, 388, 553, -1658
2020-11-27_14-39-02-283, ypr, 15.38, 3.06, 0.85, areal, 286, 434, -1485
2020-11-27_14-39-02-301, ypr, 15.54, 3.21, 0.93, areal, 229, 315, -1353
2020-11-27_14-39-02-316, ypr, 15.60, 3.26, 0.98, areal, 190, 354, -1349
2020-11-27_14-39-02-336, ypr, 15.71, 3.35, 1.12, areal, 144, 643, -1250
2020-11-27_14-39-02-354, ypr, 15.79, 3.43, 1.28, areal, 222, 660, -1623
2020-11-27_14-39-02-373, ypr, 15.86, 3.51, 1.30, areal, 276, 333, -2141
2020-11-27_14-39-02-391, ypr, 15.91, 3.52, 1.31, areal, 86, 446, -1469
2020-11-27_14-39-02-408, ypr, 15.93, 3.50, 1.36, areal, -22, 605, -1107
2020-11-27_14-39-02-426, ypr, 15.94, 3.50, 1.52, areal, 51, 887, -1581
2020-11-27_14-39-02-445, ypr, 15.93, 3.48, 1.57, areal, 23, 751, -1470
2020-11-27_14-39-02-463, ypr, 15.94, 3.47, 1.54, areal, 114, 315, -1266
2020-11-27_14-39-02-481, ypr, 15.98, 3.51, 1.48, areal, 282, -69, -1966
2020-11-27_14-39-02-499, ypr, 16.01, 3.51, 1.34, areal, 120, -143, -1332
2020-11-27_14-39-02-515, ypr, 16.02, 3.50, 1.36, areal, -16, 190, -786
2020-11-27_14-39-02-534, ypr, 16.06, 3.51, 1.55, areal, -42, 804, -701
2020-11-27_14-39-02-552, ypr, 16.12, 3.53, 1.68, areal, -98, 658, -1075
2020-11-27_14-39-02-570, ypr, 16.18, 3.57, 1.62, areal, -31, -84, -1548
2020-11-27_14-39-02-587, ypr, 16.21, 3.59, 1.53, areal, -33, -446, -1612
2020-11-27_14-39-02-605, ypr, 16.28, 3.66, 1.39, areal, -54, -669, -1510
2020-11-27_14-39-02-624, ypr, 16.35, 3.77, 1.43, areal, 17, -155, -1925
2020-11-27_14-39-02-642, ypr, 16.41, 3.87, 1.46, areal, -58, 374, -1517
2020-11-27_14-39-02-660, ypr, 16.47, 3.87, 1.67, areal, -243, 1067, -198
2020-11-27_14-39-02-676, ypr, 16.50, 3.88, 1.76, areal, -269, 1056, -101
2020-11-27_14-39-02-695, ypr, 16.55, 3.94, 1.88, areal, -178, 458, -492
2020-11-27_14-39-02-713, ypr, 16.64, 4.13, 1.91, areal, 75, -44, -1387
2020-11-27_14-39-02-732, ypr, 16.77, 4.37, 1.99, areal, 197, 139, -2034
2020-11-27_14-39-02-752, ypr, 16.96, 4.62, 2.07, areal, 201, 379, -1782
2020-11-27_14-39-02-770, ypr, 17.13, 4.80, 2.18, areal, 221, 577, -335
2020-11-27_14-39-02-786, ypr, 17.20, 4.87, 2.24, areal, 299, 500, 320
2020-11-27_14-39-02-803, ypr, 17.30, 5.05, 2.43, areal, 831, 458, -509
2020-11-27_14-39-02-821, ypr, 17.33, 5.11, 2.32, areal, 733, -487, -934
2020-11-27_14-39-02-837, ypr, 17.33, 5.07, 2.29, areal, 703, -339, -890
2020-11-27_14-39-02-855, ypr, 17.29, 4.90, 2.43, areal, 238, 762, -422
2020-11-27_14-39-02-873, ypr, 17.24, 4.54, 2.55, areal, -300, 740, 818
2020-11-27_14-39-02-891, ypr, 17.18, 4.25, 2.54, areal, -181, -626, 605
2020-11-27_14-39-02-907, ypr, 17.16, 4.16, 2.45, areal, 75, -1355, -57
2020-11-27_14-39-02-925, ypr, 17.14, 4.16, 2.59, areal, 604, -244, -3044
2020-11-27_14-39-02-943, ypr, 17.16, 4.03, 2.56, areal, 194, -93, -3073
2020-11-27_14-39-02-961, ypr, 17.25, 3.70, 2.49, areal, -758, 486, 316
2020-11-27_14-39-02-977, ypr, 17.29, 3.51, 2.66, areal, -957, 986, 882
2020-11-27_14-39-02-994, ypr, 17.30, 3.31, 2.92, areal, -436, 747, -860
2020-11-27_14-39-03-013, ypr, 17.32, 3.22, 2.74, areal, -72, -445, -2230
2020-11-27_14-39-03-031, ypr, 17.36, 2.96, 2.46, areal, -483, -638, -1031
2020-11-27_14-39-03-054, ypr, 17.39, 2.61, 2.38, areal, -1067, -681, -475
2020-11-27_14-39-03-073, ypr, 17.39, 2.34, 2.33, areal, -1198, -845, -1060
2020-11-27_14-39-03-091, ypr, 17.41, 2.22, 2.21, areal, -922, -1059, -1704
2020-11-27_14-39-03-110, ypr, 17.48, 2.17, 2.36, areal, -1104, 173, -2205
2020-11-27_14-39-03-126, ypr, 17.51, 2.12, 2.43, areal, -1306, 565, -1478
