2020-11-20_16-19-42.9999, ypr, 0.20, -0.08, 0.09, areal, 11, -5, -25
2020-11-20_16-19-42.9999, ypr, 0.20, -0.08, 0.10, areal, 14, -1, -21
2020-11-20_16-19-42.9999, ypr, 0.20, -0.08, 0.10, areal, 14, 0, -15
2020-11-20_16-19-42.9999, ypr, 0.20, -0.08, 0.10, areal, 18, -5, -10
2020-11-20_16-19-42.9999, ypr, 0.20, -0.08, 0.10, areal, 19, -7, -11
2020-11-20_16-19-42.9999, ypr, 0.20, -0.08, 0.10, areal, 17, -12, -19
2020-11-20_16-19-42.9999, ypr, 0.20, -0.08, 0.10, areal, 16, -12, -25
2020-11-20_16-19-42.9999, ypr, 0.20, -0.08, 0.10, areal, 11, -12, -23
2020-11-20_16-19-42.9999, ypr, 0.20, -0.08, 0.10, areal, 20, -12, -30
2020-11-20_16-19-42.9999, ypr, 0.20, -0.08, 0.10, areal, 19, -12, -34
2020-11-20_16-19-42.9999, ypr, 0.20, -0.07, 0.10, areal, 19, -11, -29
2020-11-20_16-19-42.9999, ypr, 0.20, -0.08, 0.10, areal, 20, -9, -33
2020-11-20_16-19-42.9999, ypr, 0.20, -0.06, 0.11, areal, 12, -11, -20
2020-11-20_16-19-42.9999, ypr, 0.20, -0.07, 0.11, areal, 8, -18, -25
2020-11-20_16-19-42.9999, ypr, 0.20, -0.07, 0.11, areal, 7, -17, -24
2020-11-20_16-19-42.9999, ypr, 0.20, -0.07, 0.10, areal, 6, -13, -33
2020-11-20_16-19-42.9999, ypr, 0.20, -0.07, 0.10, areal, 5, -16, -33
2020-11-20_16-19-42.9999, ypr, 0.20, -0.07, 0.11, areal, 13, -21, -32
2020-11-20_16-19-42.9999, ypr, 0.20, -0.07, 0.11, areal, 12, -12, -20
2020-11-20_16-19-42.9999, ypr, 0.21, -0.07, 0.10, areal, 7, -9, -23
2020-11-20_16-19-42.9999, ypr, 0.21, -0.07, 0.10, areal, 9, -10, -24
2020-11-20_16-19-42.9999, ypr, 0.21, -0.07, 0.11, areal, 6, -11, -38
2020-11-20_16-19-42.9999, ypr, 0.21, -0.08, 0.11, areal, 11, -12, -38
2020-11-20_16-19-42.9999, ypr, 0.21, -0.08, 0.11, areal, 11, -14, -39
2020-11-20_16-19-42.9999, ypr, 0.21, -0.08, 0.11, areal, 3, -12, -23
2020-11-20_16-19-42.9999, ypr, 0.21, -0.08, 0.10, areal, 13, -10, -19
2020-11-20_16-19-42.9999, ypr, 0.22, -0.08, 0.10, areal, 9, -16, -19
2020-11-20_16-19-42.9999, ypr, 0.22, -0.08, 0.10, areal, 21, -13, -25
