2020-11-27_14-34-23-148, ypr, 159.85, 3.55, 0.46, areal, 33, -9, 247
2020-11-27_14-34-23-165, ypr, 159.84, 3.54, 0.45, areal, -12, -65, 115
2020-11-27_14-34-23-185, ypr, 159.86, 3.55, 0.42, areal, -140, -139, -20
2020-11-27_14-34-23-205, ypr, 159.89, 3.60, 0.46, areal, -162, 95, -128
2020-11-27_14-34-23-221, ypr, 159.92, 3.62, 0.47, areal, -199, 94, -1
2020-11-27_14-34-23-240, ypr, 159.97, 3.69, 0.49, areal, -134, 79, 29
2020-11-27_14-34-23-258, ypr, 160.03, 3.74, 0.47, areal, -208, -165, 54
2020-11-27_14-34-23-275, ypr, 160.10, 3.81, 0.48, areal, -311, -72, -47
2020-11-27_14-34-23-296, ypr, 160.17, 3.87, 0.49, areal, -453, -108, 119
2020-11-27_14-34-23-313, ypr, 160.28, 3.98, 0.54, areal, -477, 0, -26
2020-11-27_14-34-23-330, ypr, 160.33, 4.04, 0.56, areal, -407, -22, 2
2020-11-27_14-34-23-348, ypr, 160.45, 4.23, 0.57, areal, -195, -70, 148
2020-11-27_14-34-23-366, ypr, 160.56, 4.42, 0.59, areal, -30, -146, 308
2020-11-27_14-34-23-384, ypr, 160.66, 4.55, 0.60, areal, -98, -157, 220
2020-11-27_14-34-23-399, ypr, 160.70, 4.60, 0.61, areal, -185, -150, 161
2020-11-27_14-34-23-417, ypr, 160.79, 4.69, 0.62, areal, -370, -180, 131
2020-11-27_14-34-23-435, ypr, 160.91, 4.82, 0.66, areal, -463, -108, 59
2020-11-27_14-34-23-450, ypr, 160.98, 4.89, 0.68, areal, -451, -96, 45
2020-11-27_14-34-23-468, ypr, 161.10, 5.09, 0.73, areal, -386, -22, -57
2020-11-27_14-34-23-489, ypr, 161.23, 5.27, 0.79, areal, -453, -19, -160
2020-11-27_14-34-23-508, ypr, 161.39, 5.46, 0.86, areal, -582, 48, -368
2020-11-27_14-34-23-526, ypr, 161.56, 5.67, 0.95, areal, -690, 123, -576
2020-11-27_14-34-23-544, ypr, 161.77, 5.94, 1.07, areal, -782, 221, -792
2020-11-27_14-34-23-560, ypr, 161.90, 6.10, 1.14, areal, -845, 213, -873
2020-11-27_14-34-23-577, ypr, 162.19, 6.54, 1.30, areal, -640, 306, -1002
2020-11-27_14-34-23-595, ypr, 162.54, 7.06, 1.50, areal, -570, 355, -1050
2020-11-27_14-34-23-611, ypr, 162.73, 7.36, 1.62, areal, -477, 402, -1114
2020-11-27_14-34-23-628, ypr, 163.13, 7.96, 1.83, areal, -506, 335, -1104
2020-11-27_14-34-23-646, ypr, 163.56, 8.56, 2.06, areal, -604, 215, -1165
2020-11-27_14-34-23-664, ypr, 163.99, 9.19, 2.29, areal, -632, 77, -1218
2020-11-27_14-34-23-679, ypr, 164.20, 9.51, 2.40, areal, -601, 71, -1191
2020-11-27_14-34-23-697, ypr, 164.59, 10.13, 2.69, areal, -444, 331, -1155
2020-11-27_14-34-23-715, ypr, 164.95, 10.66, 2.98, areal, -499, 413, -1177
2020-11-27_14-34-23-730, ypr, 165.11, 10.87, 3.09, areal, -609, 307, -1084
2020-11-27_14-34-23-748, ypr, 165.38, 11.20, 3.23, areal, -707, 14, -912
2020-11-27_14-34-23-766, ypr, 165.56, 11.45, 3.38, areal, -669, 191, -1166
2020-11-27_14-34-23-783, ypr, 165.67, 11.56, 3.52, areal, -709, 522, -1325
2020-11-27_14-34-23-805, ypr, 165.70, 11.55, 3.50, areal, -742, 174, -990
2020-11-27_14-34-23-821, ypr, 165.70, 11.50, 3.47, areal, -757, -38, -1002
2020-11-27_14-34-23-839, ypr, 165.69, 11.38, 3.41, areal, -867, -53, -1146
2020-11-27_14-34-23-858, ypr, 165.65, 11.23, 3.45, areal, -941, 263, -1205
