Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20200827_194509;0.043;4.185;9.584;0.030;0.050;0.757;
20200827_194509;1.413;5.456;8.566;-0.004;0.179;0.474;
20200827_194509;1.178;3.699;7.314;0.017;0.122;0.062;
20200827_194509;1.202;4.314;8.842;0.038;0.033;-0.281;
20200827_194509;0.984;4.642;7.954;-0.034;-0.009;-0.189;
20200827_194509;0.134;4.604;9.708;-0.028;0.015;0.148;
20200827_194510;1.101;4.772;7.065;0.011;0.072;0.059;
20200827_194510;0.826;4.820;9.629;-0.041;-0.029;-0.169;
20200827_194510;1.209;5.387;7.118;-0.010;-0.019;-0.169;
20200827_194510;1.041;4.786;8.897;0.001;-0.038;-0.274;
20200827_194510;1.341;4.834;8.112;0.005;-0.123;-0.353;
20200827_194510;-0.505;4.884;7.879;0.011;-0.074;-0.101;
20200827_194510;-1.350;5.076;6.850;0.021;0.020;0.398;
20200827_194510;0.441;5.605;8.686;0.019;0.099;0.517;
20200827_194510;1.087;5.016;8.435;-0.029;0.141;0.047;
20200827_194510;0.534;6.227;8.193;0.014;0.015;-0.259;
20200827_194511;-0.271;4.085;9.615;-0.071;-0.043;-0.219;
20200827_194511;-1.331;3.840;9.843;-0.020;-0.128;0.065;
20200827_194511;-0.278;5.449;8.995;0.030;-0.058;0.155;
20200827_194511;0.022;5.021;6.852;0.015;-0.075;0.217;
20200827_194511;1.693;4.233;9.529;-0.002;0.010;0.447;
20200827_194511;-0.280;4.733;9.972;-0.023;0.070;0.286;
20200827_194511;1.053;4.329;8.885;-0.045;0.079;0.254;
20200827_194511;1.939;3.587;8.384;-0.036;0.092;-0.152;
20200827_194511;-0.713;5.394;9.134;0.005;0.127;0.023;
20200827_194512;0.972;4.748;9.038;0.041;0.133;0.081;
20200827_194512;-0.924;4.604;8.229;0.004;0.140;0.003;
20200827_194512;0.745;5.329;8.626;-0.025;0.141;0.081;
20200827_194512;0.587;4.590;9.354;-0.021;0.069;-0.162;
20200827_194512;1.164;4.525;9.503;-0.055;0.060;-0.079;
20200827_194512;0.050;5.748;7.427;0.068;0.043;-0.169;
20200827_194512;1.453;3.701;7.226;0.048;-0.060;-0.426;
20200827_194512;1.132;5.126;4.683;0.027;-0.143;-0.476;
20200827_194512;-0.414;5.744;4.882;0.043;-0.128;-0.175;
20200827_194512;0.053;4.286;7.827;0.027;-0.178;-0.083;
20200827_194513;0.491;2.811;9.574;-0.069;0.001;0.250;
20200827_194513;-0.017;4.997;8.131;-0.049;-0.025;0.018;
20200827_194513;0.893;4.970;10.060;0.008;0.008;-0.014;
20200827_194513;0.170;4.168;9.912;-0.004;-0.028;-0.101;
20200827_194513;-1.003;5.631;9.905;-0.014;0.046;0.142;
20200827_194513;0.500;4.226;9.416;-0.069;0.006;0.105;
20200827_194513;1.343;4.436;8.337;0.002;-0.056;-0.124;
20200827_194513;0.364;4.372;8.270;0.013;-0.065;-0.187;
20200827_194513;0.860;4.678;8.452;-0.006;-0.141;-0.189;
20200827_194514;-0.127;4.695;9.177;-0.040;-0.176;-0.034;
20200827_194514;-0.048;4.195;9.230;0.015;-0.145;0.239;
20200827_194514;0.048;5.054;19.539;-0.064;-0.018;0.491;
20200827_194514;-0.144;3.026;6.670;-0.019;0.103;0.702;
20200827_194514;1.707;5.215;6.462;0.106;0.296;0.596;
20200827_194514;1.271;-0.163;7.966;-0.102;0.232;-0.125;
20200827_194514;1.566;7.202;5.016;0.114;0.155;-0.259;
20200827_194514;-0.393;2.595;7.788;0.000;0.225;-0.140;
20200827_194514;1.073;4.726;7.458;0.011;0.051;-0.414;
20200827_194514;0.381;6.292;9.349;0.029;-0.051;-0.415;
20200827_194515;0.711;4.283;10.465;0.015;-0.127;-0.159;
20200827_194515;0.141;5.533;7.798;0.008;-0.141;-0.030;
20200827_194515;0.242;5.282;7.259;0.022;-0.082;0.222;
20200827_194515;1.214;4.628;7.743;0.012;-0.055;0.076;
20200827_194515;0.414;4.269;8.578;0.000;0.021;0.089;
20200827_194515;0.883;4.872;8.267;0.008;0.022;0.081;
20200827_194515;-0.242;4.453;8.612;-0.016;0.052;0.019;
20200827_194515;-0.438;5.253;9.543;0.011;0.084;0.150;
20200827_194515;0.223;4.372;10.436;-0.056;0.082;-0.015;
20200827_194516;0.759;4.547;9.266;-0.017;-0.016;-0.274;
20200827_194516;0.299;4.211;6.632;0.022;-0.094;-0.311;
20200827_194516;-0.474;4.566;7.396;0.042;-0.127;-0.056;
