Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20200827_155419;0.630;6.493;7.149;0.163;-0.193;0.069;
20200827_155419;0.694;6.507;6.970;-0.002;0.006;0.009;
20200827_155419;0.615;6.531;6.977;0.001;0.021;0.041;
20200827_155419;0.816;6.512;6.970;-0.001;0.011;0.034;
20200827_155419;0.776;6.560;6.888;0.001;-0.003;-0.008;
20200827_155420;0.742;6.613;6.845;0.001;-0.010;-0.026;
20200827_155420;2.466;5.933;6.661;0.016;-0.009;-0.247;
20200827_155420;-1.173;6.577;6.936;-0.010;-0.135;-0.326;
20200827_155420;0.496;6.795;7.068;0.015;0.177;0.252;
20200827_155420;1.046;6.395;7.084;-0.000;0.001;-0.023;
20200827_155420;0.484;6.682;7.058;0.013;-0.048;-0.181;
20200827_155420;0.395;6.721;6.771;0.019;0.058;0.037;
20200827_155420;0.608;6.697;6.905;0.021;0.069;0.035;
20200827_155420;0.350;6.663;6.749;0.025;0.043;-0.034;
20200827_155420;0.565;6.541;6.962;0.034;0.068;-0.020;
20200827_155421;-0.242;6.479;6.958;0.044;0.091;-0.024;
20200827_155421;0.280;6.862;6.704;0.052;0.217;0.198;
20200827_155421;0.318;7.400;6.098;0.077;0.297;0.266;
20200827_155421;-0.599;8.114;5.595;0.066;0.271;0.251;
20200827_155421;-0.996;8.487;4.954;0.028;0.242;0.347;
20200827_155421;-0.057;8.995;4.080;-0.066;0.011;0.156;
20200827_155421;1.657;7.499;5.468;-0.090;-0.028;0.074;
20200827_155421;-0.460;8.825;6.124;-0.053;0.116;0.154;
20200827_155421;-0.704;10.403;7.017;-0.065;-0.116;-0.193;
20200827_155421;1.458;4.113;7.910;-0.037;0.066;0.047;
20200827_155422;-0.141;9.256;5.054;0.111;0.181;-0.097;
20200827_155422;-2.241;6.675;7.377;-0.064;0.168;0.172;
20200827_155422;0.833;7.013;6.950;-0.048;0.383;1.106;
20200827_155422;1.621;4.836;5.986;0.128;0.999;1.568;
20200827_155422;-0.500;9.522;5.653;0.098;0.830;1.123;
20200827_155422;0.239;7.436;3.072;0.009;0.579;0.720;
20200827_155422;1.755;8.722;11.981;0.132;0.126;-0.117;
20200827_155422;0.809;5.332;7.824;-0.166;-0.464;-0.870;
20200827_155422;0.833;5.794;4.860;0.041;0.574;0.781;
20200827_155423;-1.693;7.013;5.598;0.037;0.604;0.676;
20200827_155423;-0.218;6.479;8.866;-0.095;0.409;0.938;
20200827_155423;2.468;2.677;7.812;0.094;0.728;1.136;
20200827_155423;-1.377;7.968;6.251;0.109;0.722;1.178;
20200827_155423;1.640;9.754;6.179;0.140;0.572;1.119;
20200827_155423;-2.088;8.976;6.673;0.313;0.707;0.922;
20200827_155423;0.785;7.044;8.294;0.030;0.299;0.305;
20200827_155423;4.245;3.330;7.654;0.114;0.498;0.784;
20200827_155423;1.068;6.622;6.706;0.253;0.783;0.797;
20200827_155423;-1.753;7.865;6.862;0.259;0.738;0.830;
20200827_155424;1.398;4.348;7.003;0.245;0.735;1.081;
20200827_155424;1.784;5.490;8.150;0.330;0.640;0.507;
20200827_155424;-2.037;7.604;7.046;0.123;0.324;0.108;
20200827_155424;1.240;4.745;8.179;-0.002;0.464;0.613;
20200827_155424;1.425;5.157;7.264;0.235;0.960;1.171;
20200827_155424;-3.309;7.049;6.309;0.357;0.643;0.386;
20200827_155424;1.099;7.082;6.867;0.227;0.297;-0.242;
20200827_155424;0.637;6.881;6.294;-0.085;-0.555;-1.296;
20200827_155424;-1.269;7.726;4.848;-0.053;-0.484;-0.499;
20200827_155424;0.584;7.314;7.448;0.028;0.592;1.362;
20200827_155425;1.384;5.904;7.937;0.057;0.631;1.005;
20200827_155425;1.161;6.823;7.906;0.117;0.483;0.701;
20200827_155425;-0.579;6.139;7.032;0.124;0.560;0.815;
20200827_155425;-1.571;7.113;6.579;0.089;0.673;1.159;
20200827_155425;2.758;4.932;9.689;0.031;0.716;1.271;
20200827_155425;2.006;6.103;8.174;0.113;0.471;0.398;
20200827_155425;2.476;3.361;8.507;-0.066;-0.125;-0.384;
20200827_155425;1.872;5.236;6.366;-0.019;-0.056;-0.184;
20200827_155425;1.094;5.684;7.302;-0.068;-0.023;-0.198;
20200827_155426;1.537;6.960;8.382;-0.069;0.074;0.211;
20200827_155426;0.718;8.677;7.585;-0.058;0.256;0.448;
20200827_155426;1.566;7.111;3.534;0.228;0.185;0.187;
20200827_155426;1.841;5.423;6.998;-0.021;0.144;0.192;
20200827_155426;1.530;6.888;6.785;-0.020;0.217;0.413;
20200827_155426;0.800;5.104;6.347;0.090;0.287;0.508;
20200827_155426;-0.685;6.306;7.412;0.091;0.550;0.809;
20200827_155426;2.868;7.250;5.219;0.119;0.409;0.644;
20200827_155426;1.566;7.542;4.741;0.187;0.300;0.177;
20200827_155426;1.800;6.026;7.875;0.177;0.053;-0.127;
20200827_155427;-0.158;6.086;7.666;0.140;0.304;0.143;
20200827_155427;1.176;5.344;9.780;0.082;0.320;0.303;
20200827_155427;2.605;6.859;6.409;0.143;0.396;0.141;
20200827_155427;0.699;6.404;6.840;0.102;0.132;-0.437;
20200827_155427;1.985;8.040;6.500;0.060;-0.124;-0.735;
20200827_155427;1.547;5.782;5.868;-0.070;-0.110;-0.789;
20200827_155427;-0.838;6.306;7.412;0.003;-0.241;-0.545;
20200827_155427;0.486;6.395;7.274;-0.007;-0.189;-0.373;
20200827_155428;-0.927;6.318;8.181;-0.020;-0.107;-0.253;
20200827_155428;-0.050;5.514;7.058;0.006;-0.188;-0.296;
20200827_155428;0.474;5.480;8.334;0.009;-0.227;-0.346;
20200827_155428;0.017;5.095;8.461;-0.017;-0.249;-0.351;
20200827_155428;-0.158;5.689;7.910;0.003;-0.257;-0.268;
20200827_155428;-0.548;4.982;7.927;-0.023;-0.199;-0.173;
20200827_155428;-0.953;5.516;8.708;-0.023;-0.137;-0.062;
20200827_155428;0.247;5.399;7.300;0.004;-0.120;-0.016;
20200827_155428;0.175;4.937;8.720;-0.019;-0.091;-0.074;
20200827_155428;-0.328;5.892;7.398;0.031;-0.202;-0.312;
20200827_155429;-0.256;7.092;7.374;0.004;-0.232;-0.271;
20200827_155429;-0.436;5.461;7.262;-0.013;-0.096;-0.031;
20200827_155429;-0.551;5.516;7.319;-0.008;-0.135;-0.009;
20200827_155429;-0.311;6.165;7.084;0.017;-0.151;0.029;
20200827_155429;-0.721;5.906;7.606;0.012;-0.047;0.251;
20200827_155429;-0.649;6.263;7.551;0.011;0.172;0.654;
20200827_155429;0.098;4.843;8.272;0.001;0.434;1.000;
