Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20200827_191137;0.278;5.191;7.913;0.037;-0.049;-0.021;
20200827_191137;0.168;5.198;8.068;-0.000;-0.003;-0.039;
20200827_191137;0.132;5.107;8.037;-0.005;-0.007;-0.057;
20200827_191137;0.103;5.155;8.049;-0.002;0.000;-0.055;
20200827_191138;-0.091;5.025;8.095;-0.002;0.006;-0.011;
20200827_191138;0.074;6.306;7.640;0.006;0.020;0.067;
20200827_191138;0.350;4.233;8.440;-0.008;0.032;0.116;
20200827_191138;0.038;6.213;7.669;0.013;0.006;-0.018;
20200827_191138;0.151;4.662;8.339;-0.008;0.038;0.098;
20200827_191138;0.024;5.648;7.932;0.013;0.027;0.026;
20200827_191138;0.081;5.109;8.092;-0.005;0.028;0.051;
20200827_191138;0.062;5.258;8.131;0.007;0.020;0.023;
20200827_191138;0.036;5.430;7.956;-0.000;0.021;0.056;
20200827_191138;0.192;4.992;8.179;0.002;0.018;0.067;
20200827_191139;0.196;5.567;7.887;-0.000;0.019;0.063;
20200827_191139;0.196;4.700;8.296;-0.002;0.019;0.057;
20200827_191139;0.579;5.523;7.853;-0.001;-0.015;-0.003;
20200827_191139;0.163;5.057;8.011;-0.000;0.000;-0.013;
20200827_191139;0.146;5.538;7.975;0.001;-0.016;-0.054;
20200827_191139;0.093;5.049;8.131;-0.003;-0.015;-0.040;
20200827_191139;-0.022;5.490;7.951;0.001;-0.006;-0.013;
20200827_191139;0.237;5.102;8.080;-0.004;-0.021;-0.022;
20200827_191139;0.168;5.397;8.006;0.002;-0.005;-0.007;
20200827_191139;0.024;5.210;8.068;-0.002;0.019;0.058;
20200827_191140;0.048;5.279;8.028;0.001;-0.020;-0.007;
20200827_191140;0.093;5.322;8.018;-0.003;-0.034;-0.014;
20200827_191140;0.266;5.169;8.085;-0.002;-0.040;-0.023;
20200827_191140;0.340;5.325;8.013;-0.002;-0.033;-0.028;
20200827_191140;0.297;5.174;8.064;-0.000;-0.012;0.008;
20200827_191140;0.309;5.318;8.033;-0.000;-0.010;-0.001;
20200827_191140;0.184;5.224;8.097;0.001;0.006;0.016;
20200827_191140;0.201;5.291;8.049;0.001;0.005;0.021;
20200827_191140;0.204;5.246;8.061;-0.000;0.002;0.025;
20200827_191141;0.414;5.262;8.035;-0.000;-0.010;-0.008;
20200827_191141;0.314;5.260;8.033;-0.000;-0.015;-0.047;
20200827_191141;0.251;5.227;8.059;-0.000;-0.008;-0.031;
20200827_191141;0.261;5.284;8.028;0.001;0.004;0.014;
20200827_191141;0.302;5.212;8.052;-0.000;0.006;0.019;
20200827_191141;0.283;5.301;8.033;0.002;-0.001;-0.009;
20200827_191141;0.290;5.227;8.054;0.001;0.001;-0.003;
20200827_191141;0.218;5.260;8.052;0.001;-0.001;-0.003;
20200827_191141;0.278;5.248;8.056;-0.001;0.000;0.003;
20200827_191141;0.232;5.255;8.049;-0.000;0.001;0.008;
20200827_191142;0.278;5.274;8.052;-0.000;-0.004;0.002;
20200827_191142;0.330;5.277;8.040;0.001;-0.004;-0.003;
20200827_191142;0.321;5.248;8.040;-0.001;-0.001;-0.000;
20200827_191142;0.218;5.282;8.059;0.001;-0.003;-0.005;
20200827_191142;0.280;5.243;8.080;-0.001;-0.004;0.002;
20200827_191142;0.338;5.274;8.045;0.001;-0.004;-0.013;
20200827_191142;0.242;5.243;8.056;-0.001;0.002;-0.008;
20200827_191142;0.259;5.260;8.054;0.001;0.005;0.007;
20200827_191142;0.421;5.207;8.045;0.001;0.005;0.016;
20200827_191143;0.314;5.107;8.112;-0.000;0.010;0.019;
20200827_191143;0.239;5.102;8.128;-0.000;0.002;-0.002;
20200827_191143;0.215;5.227;8.011;-0.002;-0.021;-0.064;
20200827_191143;0.285;5.143;8.126;-0.003;-0.029;-0.081;
20200827_191143;0.189;5.274;8.066;-0.002;-0.005;-0.002;
20200827_191143;0.376;5.804;7.805;0.006;-0.001;0.005;
20200827_191143;0.316;5.310;7.985;-0.002;0.000;0.020;
