Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20200831_170856;-0.254;4.693;8.356;0.093;-0.062;-0.021;
20200831_170856;-0.239;4.554;8.653;-0.001;-0.020;-0.016;
20200831_170856;-0.242;4.580;8.612;0.001;-0.021;-0.019;
20200831_170856;-0.115;4.549;8.643;-0.000;-0.014;0.001;
20200831_170857;-0.079;4.551;8.665;-0.000;-0.005;-0.001;
20200831_170857;-0.062;4.535;8.641;-0.000;-0.012;-0.047;
20200831_170857;-0.101;4.592;8.624;0.003;0.001;-0.045;
20200831_170857;-0.136;4.592;8.600;-0.000;0.017;-0.017;
20200831_170857;-0.287;4.501;8.660;0.002;0.019;-0.028;
20200831_170857;-0.330;4.547;8.619;0.004;0.005;-0.054;
20200831_170857;-0.309;4.678;8.590;0.002;0.008;-0.014;
20200831_170857;-0.299;4.563;8.612;-0.003;0.027;0.045;
20200831_170857;-0.388;4.530;8.648;-0.000;-0.004;-0.022;
20200831_170857;-0.443;4.527;8.624;0.003;-0.020;-0.063;
20200831_170858;-0.462;4.578;8.610;0.002;-0.047;-0.093;
20200831_170858;-0.247;4.650;8.468;0.002;-0.051;-0.077;
20200831_170858;-0.273;4.750;8.557;0.011;-0.098;-0.248;
20200831_170858;-0.251;4.767;8.454;0.011;-0.086;-0.216;
20200831_170858;-0.338;4.784;8.574;0.002;-0.030;-0.055;
20200831_170858;-0.512;4.719;8.514;0.002;-0.016;-0.083;
20200831_170858;-0.247;4.671;8.677;-0.002;-0.031;-0.073;
20200831_170858;-0.953;4.633;8.866;0.011;-0.068;-0.185;
20200831_170858;-0.716;4.678;8.490;0.015;-0.077;-0.191;
20200831_170859;-0.283;4.707;8.547;0.006;-0.052;-0.057;
20200831_170859;-0.136;4.882;8.413;0.005;-0.050;-0.075;
20200831_170859;-0.266;4.872;8.437;0.001;-0.040;-0.085;
20200831_170859;-0.283;5.059;8.315;0.002;-0.025;-0.080;
20200831_170859;-0.273;4.827;8.361;-0.012;-0.019;-0.073;
20200831_170859;-0.488;4.858;8.519;0.007;-0.017;-0.118;
20200831_170859;-0.625;4.863;8.092;0.005;-0.037;-0.160;
20200831_170859;-0.910;5.499;8.873;-0.004;-0.020;0.034;
20200831_170859;-1.214;4.717;8.315;-0.047;0.030;0.274;
20200831_170859;-1.149;5.042;7.793;-0.044;0.100;0.655;
20200831_170900;-0.532;4.791;8.715;-0.034;0.179;0.927;
20200831_170900;-0.043;4.302;8.796;-0.056;0.199;0.980;
20200831_170900;0.472;4.015;9.057;-0.041;0.201;0.925;
20200831_170900;1.070;3.675;8.650;-0.019;0.174;0.751;
20200831_170900;1.434;4.554;9.342;0.016;0.146;0.416;
20200831_170900;0.931;4.413;9.014;0.028;0.078;0.172;
20200831_170900;0.788;4.432;7.937;0.009;0.008;-0.071;
20200831_170900;0.505;4.221;10.137;-0.026;0.014;-0.029;
20200831_170900;1.039;3.299;8.815;-0.030;0.059;0.182;
20200831_170901;1.233;4.367;9.124;0.035;0.088;0.123;
20200831_170901;1.290;3.531;9.309;-0.001;0.068;0.058;
20200831_170901;0.220;3.977;9.313;0.028;0.142;0.154;
20200831_170901;-0.215;4.276;8.902;0.052;0.119;0.058;
20200831_170901;0.931;4.290;8.789;0.023;0.055;0.004;
20200831_170901;0.737;4.257;8.629;0.034;0.144;0.202;
20200831_170901;0.579;4.092;8.748;0.034;0.196;0.254;
20200831_170901;0.936;4.276;8.461;0.062;0.190;0.150;
20200831_170901;0.335;3.970;8.746;0.073;0.262;0.214;
20200831_170901;-0.266;4.513;9.000;0.069;0.271;0.230;
20200831_170902;-1.039;2.315;8.696;-0.034;0.208;0.193;
20200831_170902;-0.563;3.479;9.079;0.048;0.014;-0.098;
20200831_170902;-0.031;5.997;8.164;0.033;0.050;0.073;
20200831_170902;0.220;4.140;9.031;-0.024;0.132;0.512;
20200831_170902;0.093;4.202;8.526;0.035;0.035;0.128;
20200831_170902;-0.436;5.770;8.143;-0.000;0.013;0.069;
20200831_170902;0.261;3.831;8.918;-0.048;0.030;0.363;
20200831_170902;0.984;4.899;8.600;0.013;0.064;0.290;
