Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20200920_185315;0.362;4.147;8.593;0.072;-0.039;-0.002;
20200920_185315;0.309;4.113;8.617;-0.003;0.026;0.035;
20200920_185315;0.373;4.106;8.564;-0.010;0.032;0.040;
20200920_185316;0.194;4.051;8.605;-0.004;0.022;-0.013;
20200920_185316;-0.055;4.056;8.629;-0.000;0.002;-0.019;
20200920_185316;0.400;4.118;8.629;0.004;-0.010;0.030;
20200920_185316;0.340;4.125;8.595;-0.000;-0.001;0.001;
20200920_185316;0.230;4.080;8.619;-0.000;-0.000;0.013;
20200920_185316;0.517;4.226;8.260;0.001;-0.000;0.032;
20200920_185316;0.053;4.070;8.528;-0.003;0.025;0.053;
20200920_185316;0.639;4.135;8.662;0.004;-0.016;-0.022;
20200920_185316;0.912;4.049;8.679;-0.012;0.031;0.007;
20200920_185317;2.035;4.760;8.315;-0.033;0.116;0.020;
20200920_185317;0.500;3.737;8.593;-0.072;0.246;-0.034;
20200920_185317;-0.182;3.967;8.521;-0.066;0.232;-0.193;
20200920_185317;-0.869;3.675;8.633;-0.067;0.242;-0.149;
20200920_185317;-1.858;3.527;8.756;-0.050;0.163;-0.219;
20200920_185317;-1.614;3.776;8.657;-0.029;0.104;-0.026;
20200920_185317;-1.537;3.390;8.880;-0.022;0.076;-0.000;
20200920_185317;-1.377;3.723;8.569;-0.001;0.009;-0.108;
20200920_185317;-2.401;3.060;8.796;-0.021;0.059;0.151;
20200920_185317;-0.237;4.231;8.114;-0.032;0.087;0.461;
20200920_185318;-0.177;4.329;8.715;-0.015;0.086;-0.134;
20200920_185318;-1.820;4.377;9.304;-0.012;0.054;-0.386;
20200920_185318;-2.083;4.755;8.375;-0.004;0.089;-0.238;
20200920_185318;-2.792;4.894;8.018;-0.014;0.098;0.228;
20200920_185318;-1.317;4.719;8.571;-0.010;0.015;0.146;
20200920_185318;-1.539;3.345;7.290;0.027;-0.031;-0.464;
20200920_185318;-1.561;5.918;8.085;0.059;-0.101;-0.808;
20200920_185318;-3.285;5.200;8.497;0.122;-0.270;-0.979;
20200920_185318;-0.457;5.241;7.230;0.129;-0.291;-0.591;
20200920_185319;-2.203;3.807;9.069;0.127;-0.099;-0.000;
20200920_185319;-1.171;4.075;8.174;0.120;-0.197;-0.195;
20200920_185319;-1.152;4.796;8.535;0.056;-0.171;-0.475;
20200920_185319;-2.950;3.491;8.801;-0.021;-0.090;0.050;
20200920_185319;-2.040;2.552;8.964;-0.015;0.003;0.853;
20200920_185319;-0.728;1.891;9.960;-0.022;0.086;0.943;
20200920_185319;-0.848;2.981;8.399;-0.009;0.068;0.488;
20200920_185319;-0.903;5.593;8.516;-0.032;-0.020;-0.144;
20200920_185319;-1.561;4.053;7.920;-0.002;-0.064;-0.208;
20200920_185319;-0.484;3.771;9.407;0.061;-0.059;-0.061;
20200920_185320;-0.651;3.728;8.650;0.049;-0.050;-0.076;
20200920_185320;-0.436;3.553;8.384;-0.014;-0.031;0.161;
20200920_185320;-0.450;3.100;9.895;-0.076;0.052;0.090;
20200920_185320;0.029;3.397;9.558;-0.009;0.032;-0.225;
20200920_185320;-1.034;2.552;8.334;0.023;0.082;-0.284;
20200920_185320;-1.496;3.431;8.540;0.048;-0.033;-0.666;
20200920_185320;-2.478;4.032;8.174;0.086;-0.148;-0.688;
20200920_185320;-1.688;5.279;8.440;0.021;-0.160;-0.274;
20200920_185320;0.237;3.649;7.817;0.042;-0.131;-0.074;
20200920_185321;-0.002;1.899;10.870;-0.069;-0.043;-0.289;
20200920_185321;-1.350;3.182;9.160;0.068;-0.051;-0.539;
20200920_185321;0.781;5.219;7.559;0.094;-0.096;-0.482;
