Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20200920_182640;0.163;4.760;8.140;0.001;-0.006;0.012;
20200920_182640;0.163;4.726;8.313;-0.001;0.006;0.017;
20200920_182640;0.170;4.724;8.265;-0.001;0.005;0.013;
20200920_182640;0.199;4.731;8.298;-0.002;0.002;0.005;
20200920_182640;0.189;4.719;8.274;-0.000;-0.001;-0.009;
20200920_182640;0.136;4.709;8.284;-0.001;-0.000;-0.006;
20200920_182640;0.113;4.745;8.279;-0.001;0.006;0.009;
20200920_182641;0.144;4.738;8.286;-0.001;-0.000;0.013;
20200920_182641;0.204;4.714;8.303;-0.000;-0.003;0.006;
20200920_182641;0.172;4.721;8.286;-0.000;-0.002;-0.001;
20200920_182641;0.115;4.745;8.294;-0.000;0.003;0.005;
20200920_182641;0.187;4.726;8.325;-0.001;0.001;0.013;
20200920_182641;0.239;4.712;8.325;-0.001;0.005;0.017;
20200920_182641;0.754;4.726;8.358;-0.001;0.018;0.030;
20200920_182641;0.314;4.875;8.203;-0.001;0.164;0.144;
20200920_182641;0.634;4.628;8.447;0.008;0.280;0.283;
20200920_182642;-0.247;4.520;8.260;0.015;0.323;0.280;
20200920_182642;-1.688;5.061;9.170;0.020;0.280;0.277;
20200920_182642;-0.941;5.318;8.356;0.047;0.251;0.259;
20200920_182642;-0.747;4.966;7.903;0.016;0.089;-0.029;
20200920_182642;-1.087;5.143;8.080;0.014;0.076;0.005;
20200920_182642;-0.579;4.714;8.291;-0.003;0.062;0.092;
20200920_182642;-0.426;4.523;8.380;-0.016;0.009;0.001;
20200920_182642;0.608;4.590;8.164;0.001;-0.012;-0.036;
20200920_182642;-2.401;5.435;8.425;0.019;0.007;-0.243;
20200920_182643;-0.625;4.879;7.252;-0.030;-0.062;-0.142;
20200920_182643;-0.400;5.047;7.513;-0.026;-0.038;0.094;
20200920_182643;-1.233;4.152;9.586;-0.007;-0.110;-0.016;
20200920_182643;0.218;5.016;6.742;-0.059;-0.000;-0.015;
20200920_182643;-1.331;6.507;7.752;0.015;0.045;-0.004;
20200920_182643;-0.299;5.444;7.666;-0.011;-0.011;-0.084;
20200920_182643;-0.369;7.029;7.374;-0.010;-0.001;-0.195;
20200920_182643;-1.310;7.149;6.402;-0.030;0.012;-0.154;
20200920_182643;-1.087;6.883;6.819;-0.051;-0.105;-0.236;
20200920_182643;1.161;6.555;7.652;-0.071;-0.175;-0.405;
20200920_182644;-1.120;7.228;6.744;-0.013;-0.082;-0.411;
20200920_182644;-3.156;5.306;7.302;0.023;-0.251;-0.355;
20200920_182644;0.800;2.437;9.685;0.121;-0.309;-0.222;
20200920_182644;-0.481;1.549;9.237;-0.003;-0.138;-0.002;
20200920_182644;-2.167;2.370;9.376;0.018;-0.115;-0.075;
20200920_182644;4.334;6.280;8.966;-0.027;-0.275;-0.421;
20200920_182644;-1.882;6.852;4.611;0.017;-0.194;0.039;
20200920_182644;-0.390;5.289;7.420;-0.030;-0.063;0.489;
20200920_182644;-0.029;5.432;9.184;-0.043;0.001;0.314;
20200920_182644;-0.093;5.150;9.785;-0.020;0.039;0.410;
20200920_182645;1.264;4.307;5.717;0.048;0.068;0.261;
20200920_182645;0.199;6.184;7.161;0.039;-0.006;-0.286;
20200920_182645;0.962;6.036;9.115;0.023;-0.096;-0.481;
20200920_182645;0.323;7.051;7.702;0.084;-0.109;-0.491;
20200920_182645;0.187;4.245;8.981;0.049;-0.061;-0.126;
20200920_182645;0.101;4.499;9.038;0.145;-0.088;-0.077;
20200920_182645;-2.274;5.466;8.169;0.075;0.008;0.293;
20200920_182645;-0.876;4.930;9.100;0.021;0.052;0.657;
20200920_182645;1.312;5.284;5.933;-0.034;0.050;0.418;
20200920_182646;-0.007;4.542;8.169;-0.043;0.192;0.323;
