Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20190809_161517;-1,743;1,784;7,259;0,141;0,122;-0,073;
20190809_161517;-1,834;1,415;9,586;0,012;0,119;-0,039;
20190809_161518;-1,645;1,482;9,479;-0,007;-0,100;-0,004;
20190809_161518;-1,611;1,336;9,383;-0,004;-0,041;-0,026;
20190809_161518;-1,527;0,910;9,512;0,000;-0,097;-0,019;
20190809_161518;-1,190;1,106;9,316;-0,001;-0,172;0,001;
20190809_161518;-0,405;1,640;8,971;-0,007;-0,187;0,033;
20190809_161518;-1,398;1,882;8,978;0,064;0,048;-0,039;
20190809_161518;-2,538;2,557;8,952;0,034;0,287;-0,026;
20190809_161518;-1,417;3,132;8,468;0,033;-0,090;0,062;
20190809_161518;-1,185;1,894;7,745;0,019;-0,119;0,137;
20190809_161519;-4,324;1,288;9,948;-0,167;0,658;0,039;
20190809_161519;-4,518;1,214;9,182;-0,057;0,101;0,030;
20190809_161519;-2,088;1,741;9,335;0,031;-0,952;0,182;
20190809_161519;-1,015;1,729;11,360;-0,049;-0,539;0,125;
20190809_161519;-0,855;2,952;8,602;0,059;-0,222;0,026;
20190809_161519;0,476;2,550;10,068;-0,061;-0,417;0,077;
20190809_161519;-1,403;3,627;10,149;-0,069;-0,168;0,150;
20190809_161519;0,802;2,976;9,697;-0,035;-0,191;0,217;
20190809_161519;3,203;2,023;9,297;-0,056;-0,099;0,323;
20190809_161519;-0,426;2,890;7,599;0,020;0,095;0,188;
20190809_161520;0,840;1,645;7,750;0,115;0,038;0,219;
20190809_161520;0,220;-0,057;10,764;0,005;0,035;0,192;
20190809_161520;-0,304;1,147;8,109;-0,006;-0,083;0,100;
20190809_161520;1,164;1,982;5,574;0,020;-0,226;0,014;
20190809_161520;0,845;1,810;10,736;0,111;-0,380;0,164;
20190809_161520;2,047;-0,069;7,053;0,041;0,095;0,158;
20190809_161520;0,666;0,967;9,646;0,066;0,008;0,092;
20190809_161520;0,582;1,290;9,155;-0,019;-0,077;0,084;
20190809_161520;0,733;1,171;8,698;-0,064;-0,024;0,038;
20190809_161521;2,016;1,844;8,648;0,032;-0,137;0,081;
20190809_161521;0,977;1,384;9,297;0,032;-0,019;0,065;
20190809_161521;0,809;1,152;10,053;-0,016;0,067;0,084;
20190809_161521;1,551;1,777;9,026;-0,017;0,019;0,104;
20190809_161521;2,205;1,504;9,957;-0,045;0,060;0,089;
20190809_161521;2,282;1,772;9,096;-0,017;0,014;0,058;
20190809_161521;1,293;0,924;11,976;-0,086;0,077;-0,036;
20190809_161521;2,519;0,869;10,288;-0,074;0,009;-0,058;
20190809_161521;1,556;1,403;9,313;-0,050;-0,070;-0,149;
20190809_161522;1,812;2,710;9,637;0,033;-0,096;-0,207;
20190809_161522;0,577;1,492;9,953;-0,015;-0,107;-0,168;
20190809_161522;-0,706;1,999;6,393;-0,132;0,031;-0,007;
20190809_161522;0,706;2,504;8,962;-0,029;0,081;0,006;
20190809_161522;1,875;1,453;9,720;-0,074;0,073;0,105;
20190809_161522;1,365;1,743;9,871;0,055;0,190;0,007;
20190809_161522;1,803;0,601;16,319;-0,197;0,332;0,065;
20190809_161522;1,855;0,567;11,262;0,147;0,124;-0,169;
20190809_161522;0,627;2,071;6,852;0,209;-0,003;-0,296;
20190809_161523;1,700;2,667;8,384;0,060;-0,082;-0,212;
20190809_161523;0,338;1,657;9,127;-0,094;0,011;-0,191;
20190809_161523;0,445;2,847;5,770;0,041;0,065;-0,155;
20190809_161523;-0,249;2,830;2,447;0,071;-0,245;-0,093;
20190809_161523;2,483;1,719;7,274;-0,132;-0,155;-0,050;
20190809_161523;2,535;0,991;15,864;-0,243;0,279;-0,147;
20190809_161523;-0,067;2,322;-2,483;0,501;-0,059;-0,458;
