Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20190926_022152;0.043;6.754;6.129;0.316;-0.086;-0.071;
20190926_022152;0.553;6.706;5.887;0.506;-0.515;0.015;
20190926_022152;0.649;6.960;6.443;-0.280;-0.600;-0.049;
20190926_022152;0.481;6.855;6.632;-0.195;-0.338;0.146;
20190926_022153;0.354;7.851;5.899;0.743;-0.946;0.085;
20190926_022153;1.386;7.590;4.216;1.521;-0.450;0.836;
20190926_022153;3.785;8.255;3.199;2.022;0.192;1.799;
20190926_022153;4.243;8.210;2.035;1.480;0.247;0.855;
20190926_022153;5.538;6.242;2.040;0.488;0.020;0.874;
20190926_022153;3.785;8.054;1.018;0.104;0.120;-0.625;
20190926_022153;5.224;8.090;2.500;-0.746;-0.190;0.105;
20190926_022153;2.959;7.693;2.689;-2.030;0.584;-0.703;
20190926_022153;3.780;7.424;3.979;-1.066;0.641;-0.255;
20190926_022153;3.302;7.724;5.076;-0.201;0.169;-0.491;
20190926_022154;1.125;7.537;5.042;-0.141;0.234;-0.710;
20190926_022154;0.388;7.645;6.278;-0.450;0.324;-0.341;
20190926_022154;0.591;7.570;5.672;0.015;0.094;-0.465;
20190926_022154;-0.048;7.039;4.288;-0.529;0.176;-0.083;
20190926_022154;-0.211;6.809;6.546;-0.132;0.123;-0.098;
20190926_022154;-0.168;6.230;6.455;-0.302;0.221;-0.108;
20190926_022154;-0.184;6.491;6.716;-0.047;0.203;0.024;
20190926_022154;-0.443;6.155;6.347;0.066;0.220;-0.136;
20190926_022154;-0.718;6.476;6.414;0.201;0.119;-0.015;
20190926_022155;-0.986;6.416;6.091;0.023;-0.107;0.109;
20190926_022155;-0.347;6.773;6.665;-0.074;-0.003;-0.011;
20190926_022155;-0.249;6.227;6.950;0.132;-0.283;0.557;
20190926_022155;-0.093;6.309;7.403;-0.560;0.322;-0.143;
20190926_022155;-0.041;6.455;6.953;-0.171;0.048;-0.023;
20190926_022155;-0.850;6.285;6.436;0.084;-0.054;-0.120;
20190926_022155;-0.970;6.426;6.357;0.115;0.029;-0.070;
20190926_022155;-0.898;6.390;6.493;0.108;0.246;-0.201;
20190926_022155;-2.212;6.598;6.256;-0.011;0.736;-0.699;
20190926_022155;-2.315;6.570;6.062;0.333;0.217;-0.196;
20190926_022156;-2.078;6.419;5.581;0.144;0.054;0.070;
20190926_022156;-2.090;6.766;5.933;0.066;0.063;-0.109;
20190926_022156;-2.638;6.675;5.950;0.007;0.094;-0.061;
20190926_022156;-1.652;6.527;5.710;0.156;0.144;-0.112;
20190926_022156;-2.734;7.065;5.957;-0.179;-0.347;0.408;
20190926_022156;-2.298;6.677;5.655;-0.022;-0.036;0.349;
20190926_022156;-0.850;6.201;5.993;-0.346;-0.045;0.256;
20190926_022156;-1.279;6.718;6.644;-0.228;-0.273;0.235;
20190926_022156;-0.553;6.191;6.309;-0.190;-0.163;0.334;
20190926_022156;-0.570;5.358;6.883;-0.114;0.279;-0.565;
20190926_022157;-0.991;6.227;7.949;-0.563;-0.189;0.168;
20190926_022157;-0.309;5.583;7.343;-0.086;-0.001;-0.016;
20190926_022157;0.067;5.878;6.852;0.355;-0.223;0.233;
20190926_022157;-0.115;5.947;6.871;0.055;-0.071;0.027;
20190926_022157;-0.230;6.187;7.032;0.038;-0.074;0.012;
20190926_022157;-0.069;6.072;6.692;0.208;-0.272;-0.022;
20190926_022157;-0.045;6.809;5.847;1.101;-1.180;0.276;
20190926_022157;2.100;6.960;7.099;1.069;-0.740;0.945;
20190926_022157;3.505;8.545;2.662;2.909;-0.092;1.495;
20190926_022158;2.828;9.606;1.942;2.141;0.309;2.015;
20190926_022158;6.567;7.061;0.194;1.274;0.180;0.392;
20190926_022158;5.559;7.736;0.168;0.064;-0.124;-0.059;
20190926_022158;5.160;8.109;-1.446;1.832;-0.787;0.024;
20190926_022158;5.078;7.192;-2.128;0.619;0.340;0.513;
20190926_022158;4.700;7.676;-1.176;-1.685;0.639;-0.992;
20190926_022158;4.568;8.104;0.520;-1.435;-0.119;-0.738;
20190926_022158;3.043;7.721;1.642;-1.557;0.597;-1.121;
20190926_022158;2.023;8.734;3.108;-1.390;0.045;-1.204;
20190926_022158;0.800;9.673;5.358;-0.894;-0.032;-0.197;
20190926_022159;1.106;7.779;4.278;-0.382;0.223;-0.467;
20190926_022159;0.251;8.243;5.437;0.044;-0.202;0.186;
20190926_022159;-1.211;8.490;5.904;-0.109;-0.071;0.162;
20190926_022159;2.100;9.716;4.786;2.371;-0.579;1.524;
20190926_022159;5.904;7.233;-0.029;3.036;-0.047;2.367;
20190926_022159;7.379;6.857;0.206;1.208;0.174;1.612;
20190926_022159;5.906;8.056;-2.049;1.481;-0.401;0.256;
20190926_022159;6.278;6.864;-2.990;1.226;-0.147;0.163;
20190926_022159;5.059;5.507;-2.356;0.170;-0.278;0.247;
20190926_022200;6.316;7.954;-3.701;-0.058;0.089;0.596;
20190926_022200;6.227;7.046;-2.200;0.059;0.015;0.379;
20190926_022200;5.916;7.068;-3.876;0.760;-0.475;-0.076;
20190926_022200;7.688;5.183;-6.206;0.455;0.095;0.003;
20190926_022200;5.332;7.712;-3.180;-0.169;-0.671;-0.766;
20190926_022200;4.451;8.092;-6.088;1.358;0.151;0.363;
20190926_022200;8.384;2.274;-5.612;0.766;0.555;0.119;
20190926_022200;5.705;3.685;-4.757;-0.573;-0.886;-0.674;
20190926_022200;4.235;6.826;-6.869;-0.026;-0.410;-0.833;
20190926_022200;3.474;5.545;-5.746;-0.264;-2.129;-0.691;
20190926_022201;1.733;9.641;-9.122;-1.851;-0.064;-0.527;
20190926_022201;0.113;9.479;-2.746;-2.625;-0.218;-0.005;
20190926_022201;1.877;7.451;-2.796;-1.117;0.533;0.204;
20190926_022201;1.956;9.878;-3.776;-0.092;-0.162;-0.217;
20190926_022201;-0.002;11.791;-3.402;-0.144;-0.447;-0.513;
20190926_022201;1.607;9.622;-3.654;-0.092;0.451;-0.265;
20190926_022201;1.032;9.278;-2.648;-0.061;0.114;-0.009;
20190926_022201;1.496;8.837;-4.013;-0.068;0.109;-0.076;
20190926_022201;0.747;9.225;-2.954;-0.015;0.090;-0.005;
20190926_022202;1.731;9.519;-3.905;0.108;-0.059;0.110;
20190926_022202;0.788;9.493;-1.911;-0.227;-0.083;-0.078;
20190926_022202;1.051;9.433;-2.454;-0.008;-0.053;-0.059;
20190926_022202;0.792;9.136;-2.354;-0.018;-0.024;-0.253;
20190926_022202;0.347;9.742;-3.247;-0.167;0.004;-0.310;
20190926_022202;0.737;9.697;-2.480;-0.047;-0.014;0.032;
20190926_022202;0.079;9.701;-2.270;-0.012;0.010;-0.002;
20190926_022202;0.014;9.613;-3.369;0.479;0.006;0.815;
20190926_022202;0.493;9.445;-2.789;0.096;-0.002;0.202;
20190926_022202;3.824;9.421;-3.160;-0.001;0.025;0.509;
20190926_022203;1.693;9.476;-0.464;-0.265;-0.004;-0.057;
20190926_022203;3.081;8.588;-2.571;0.131;-0.234;-0.445;
20190926_022203;0.970;9.345;-2.363;-0.113;0.038;-0.023;
20190926_022203;1.267;8.760;-2.045;-0.095;0.109;-0.128;
20190926_022203;-0.692;14.147;-2.998;0.059;0.021;-0.111;
20190926_022203;0.678;9.639;-2.375;-0.042;-0.027;0.006;
20190926_022203;1.326;3.510;-1.755;0.148;-0.025;-0.320;
20190926_022203;-0.534;13.453;-2.552;0.033;-0.005;-0.395;
20190926_022203;0.407;9.349;-2.557;-0.055;0.004;-0.053;
20190926_022204;-0.809;10.977;-3.012;0.064;0.039;-0.343;
20190926_022204;0.019;9.467;-2.308;0.044;0.009;-0.118;
20190926_022204;-0.036;8.456;-2.526;0.151;0.015;-0.009;
20190926_022204;-0.024;9.503;-3.168;0.004;-0.005;-0.011;
