Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20190926_035036;-1.626;5.602;6.455;0.069;-0.117;0.065;
20190926_035036;-2.354;6.172;6.974;-0.111;0.022;0.375;
20190926_035036;-0.673;5.564;6.816;-0.845;-0.781;0.473;
20190926_035036;-1.092;5.095;9.486;-1.253;-0.555;-0.500;
20190926_035036;1.556;4.381;8.545;1.940;-1.852;0.359;
20190926_035036;1.343;5.607;5.753;0.729;-0.247;0.124;
20190926_035036;2.691;5.959;4.161;1.199;-1.854;-0.261;
20190926_035036;4.571;5.954;7.041;-0.216;-0.718;0.787;
20190926_035037;4.642;5.555;6.364;0.444;-0.758;0.707;
20190926_035037;4.956;7.642;4.879;0.462;-1.475;-0.710;
20190926_035037;6.539;7.348;1.532;0.802;-0.957;-0.144;
20190926_035037;4.525;6.381;5.195;0.345;0.767;-0.122;
20190926_035037;5.722;6.637;3.596;0.554;0.179;0.079;
20190926_035037;4.662;6.639;2.064;0.309;0.023;0.337;
20190926_035037;5.488;7.841;3.977;0.518;0.713;-0.177;
20190926_035037;5.377;7.372;2.998;0.470;-0.191;0.091;
20190926_035037;5.461;7.776;4.396;0.192;0.256;0.202;
20190926_035037;5.626;7.934;0.464;1.115;-0.418;-0.050;
20190926_035038;5.104;8.320;2.303;0.409;0.084;-0.053;
20190926_035038;6.852;8.033;0.014;1.027;-0.169;-1.094;
20190926_035038;3.086;8.298;-0.002;1.090;-0.917;-2.354;
20190926_035038;-0.553;9.799;-1.267;1.589;-1.013;-1.998;
20190926_035038;-0.570;9.780;-3.936;2.075;0.029;-0.509;
20190926_035038;1.082;7.743;-5.825;1.201;0.223;-0.167;
20190926_035038;-0.407;8.076;-6.809;1.040;0.434;-0.356;
20190926_035038;0.330;7.238;-6.780;1.380;0.580;0.049;
20190926_035038;0.383;5.289;-7.456;1.828;0.658;-0.793;
20190926_035038;0.419;6.929;-7.772;0.025;0.343;-0.999;
20190926_035039;1.034;2.052;-8.641;-0.112;0.332;0.715;
20190926_035039;-1.635;9.926;-8.485;-1.075;0.414;0.789;
20190926_035039;2.543;6.177;-5.432;-1.445;0.122;-0.424;
20190926_035039;-0.587;6.316;-6.096;-1.283;-0.237;-1.550;
20190926_035039;2.370;9.081;-8.236;2.189;-0.890;0.641;
20190926_035039;-0.582;8.054;-5.602;-1.714;0.269;-0.697;
20190926_035039;1.769;11.684;-3.158;-0.689;1.326;0.533;
20190926_035039;0.646;10.999;-4.305;-0.066;-0.302;-0.146;
20190926_035039;2.076;7.961;-3.754;-0.047;-0.156;-0.111;
20190926_035040;0.345;9.661;-4.094;0.043;-0.114;-0.326;
20190926_035040;-0.314;7.628;-3.974;0.398;0.845;-0.664;
20190926_035040;0.833;11.439;-6.314;0.148;0.346;0.368;
20190926_035040;0.551;8.624;-4.640;-0.200;0.030;-0.184;
20190926_035040;1.772;8.861;-2.732;-0.505;0.218;0.196;
20190926_035040;0.888;8.844;-5.246;0.450;0.111;0.102;
20190926_035040;0.438;9.021;-2.983;-0.265;0.036;-0.003;
20190926_035040;0.345;8.873;-3.666;-0.065;0.016;-0.016;
20190926_035040;0.314;8.756;-3.907;0.007;0.026;-0.010;
20190926_035040;0.223;9.026;-4.080;-0.002;0.035;-0.005;
20190926_035041;0.026;9.112;-3.577;-0.042;-0.014;-0.031;
20190926_035041;0.218;9.048;-3.625;0.032;-0.033;-0.032;
20190926_035041;0.096;8.736;-5.246;0.062;0.023;-0.030;
20190926_035041;0.273;8.942;-4.247;0.101;0.031;-0.007;
20190926_035041;0.371;9.074;-4.298;0.031;0.039;-0.013;
20190926_035041;0.124;9.122;-3.840;-0.022;0.036;-0.021;
20190926_035041;0.077;8.818;-4.051;0.016;0.079;0.006;
20190926_035041;0.038;8.772;-4.063;0.046;0.030;-0.019;
20190926_035041;0.060;9.206;-4.353;0.020;0.050;-0.020;
20190926_035042;0.007;9.179;-4.070;-0.004;0.026;-0.024;
20190926_035042;0.065;8.789;-3.903;-0.039;0.048;-0.010;
20190926_035042;0.086;8.909;-3.718;-0.020;0.048;-0.016;
20190926_035042;-0.024;9.100;-4.082;0.011;0.030;-0.024;
20190926_035042;-0.093;9.062;-3.764;-0.038;0.047;-0.016;
20190926_035042;0.122;8.775;-3.737;-0.033;0.046;-0.013;
20190926_035042;0.026;8.756;-3.958;-0.059;0.060;-0.021;
20190926_035042;0.144;9.213;-3.943;-0.106;0.094;-0.017;
20190926_035042;0.397;9.129;-3.682;-0.063;0.097;0.038;
20190926_035042;0.220;9.141;-3.788;0.022;0.028;-0.021;
20190926_035043;0.069;9.009;-4.757;0.149;0.009;-0.030;
20190926_035043;0.062;8.799;-3.886;0.041;0.044;-0.014;
20190926_035043;0.069;8.521;-3.694;-0.022;0.039;-0.017;
20190926_035043;0.091;9.091;-4.058;-0.002;0.056;-0.023;
20190926_035043;0.153;9.764;-4.398;-0.007;0.072;-0.022;
20190926_035043;0.204;8.861;-3.960;-0.003;0.041;-0.016;
20190926_035043;0.184;8.624;-3.766;-0.020;0.046;-0.023;
20190926_035043;-0.172;9.012;-3.706;-0.023;0.043;-0.037;
20190926_035043;-0.089;9.096;-4.444;0.088;0.042;-0.010;
20190926_035043;0.129;8.746;-4.058;0.022;0.055;-0.000;
20190926_035044;0.048;8.605;-3.570;-0.018;0.050;-0.015;
20190926_035044;-0.010;9.189;-4.020;0.003;0.059;-0.024;
20190926_035044;0.065;9.268;-4.767;0.130;0.057;-0.004;
20190926_035044;0.247;8.753;-4.365;0.081;0.047;-0.009;
20190926_035044;0.108;8.892;-4.111;0.014;0.033;-0.035;
20190926_035044;-0.127;9.057;-4.142;0.018;0.029;-0.030;
20190926_035044;-0.043;9.115;-4.027;0.018;0.036;-0.017;
20190926_035044;-0.074;9.088;-4.111;0.011;0.042;-0.020;
20190926_035044;-0.294;9.110;-4.001;-0.007;0.040;-0.024;
20190926_035045;-0.256;9.129;-4.015;-0.003;0.044;-0.014;
20190926_035045;-0.218;8.655;-4.037;0.014;0.042;-0.008;
20190926_035045;-0.273;9.206;-4.037;-0.006;0.038;-0.023;
20190926_035045;-0.323;9.395;-4.300;0.022;0.036;-0.016;
20190926_035045;-0.081;8.801;-4.132;0.009;0.036;-0.006;
20190926_035045;-0.177;8.734;-3.912;0.009;0.024;-0.013;
20190926_035045;-0.069;9.369;-4.049;0.013;0.024;-0.016;
20190926_035045;-0.117;9.431;-4.314;0.019;0.012;-0.009;
20190926_035045;-0.093;8.962;-3.843;-0.005;0.021;-0.004;
20190926_035045;-0.053;8.729;-3.821;0.008;0.023;-0.006;
20190926_035046;0.029;8.892;-3.809;0.014;0.008;-0.013;
20190926_035046;-0.055;9.153;-4.056;0.026;0.012;-0.004;
20190926_035046;0.223;9.069;-3.888;-0.015;0.021;-0.001;
20190926_035046;0.062;9.062;-4.099;0.014;0.006;-0.012;
20190926_035046;0.069;9.017;-3.797;-0.003;0.006;-0.008;
20190926_035046;0.215;9.096;-3.807;-0.008;0.022;0.002;
20190926_035046;0.170;9.167;-3.713;-0.020;0.008;-0.009;
20190926_035046;0.148;9.014;-3.828;-0.011;0.009;-0.007;
20190926_035046;0.189;9.007;-3.893;-0.010;0.013;-0.000;
20190926_035047;0.136;8.964;-4.077;0.024;0.017;-0.001;
20190926_035047;0.120;9.017;-4.082;0.008;0.010;-0.006;
20190926_035047;0.354;9.122;-3.994;-0.001;0.022;-0.000;
20190926_035047;0.266;8.897;-3.797;-0.032;0.021;-0.005;
20190926_035047;0.369;8.863;-3.821;-0.016;0.013;-0.008;
20190926_035047;0.213;9.158;-4.094;0.011;0.010;-0.013;
