Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20190905_113013;-0.086;4.604;8.882;-0.047;-0.097;-0.010;
20190905_113013;-0.280;4.401;8.317;0.053;0.013;-0.008;
20190905_113014;-0.263;4.063;8.535;-0.002;0.062;-0.019;
20190905_113014;-0.297;4.367;8.473;0.016;0.034;-0.019;
20190905_113014;0.057;4.633;8.674;-0.111;0.041;0.043;
20190905_113014;0.057;4.539;8.090;0.032;0.013;0.027;
20190905_113014;0.103;4.530;9.036;0.177;0.342;-0.091;
20190905_113014;-1.259;4.590;7.836;0.283;0.086;0.131;
20190905_113014;-0.237;5.001;9.179;-0.365;0.039;-0.337;
20190905_113014;-0.611;4.429;9.117;-0.426;-0.428;-0.238;
20190905_113014;-0.285;4.326;8.799;0.596;-0.360;0.260;
20190905_113014;1.578;6.055;7.602;1.009;-0.552;-0.197;
20190905_113015;0.915;5.456;8.315;1.219;-1.317;-0.407;
20190905_113015;1.877;6.814;6.165;0.353;-0.737;-0.295;
20190905_113015;0.630;6.742;7.271;0.415;-0.671;-0.260;
20190905_113015;1.961;7.250;6.057;0.097;-0.475;0.005;
20190905_113015;1.566;7.302;5.753;0.128;-0.085;0.149;
20190905_113015;1.671;6.965;5.818;0.188;-0.420;-0.028;
20190905_113015;1.803;7.216;5.432;0.443;-0.238;0.101;
20190905_113015;-0.376;9.890;6.007;1.175;0.658;-1.212;
20190905_113015;1.712;9.263;3.682;1.886;0.477;0.737;
20190905_113016;2.512;7.961;0.445;2.162;0.733;1.014;
20190905_113016;3.117;8.305;0.900;1.096;0.467;0.623;
20190905_113016;2.253;8.823;0.366;0.599;0.333;-0.100;
20190905_113016;3.555;9.108;0.014;-0.176;0.245;0.264;
20190905_113016;1.935;9.000;-0.620;-0.057;0.152;-0.965;
20190905_113016;2.734;9.297;0.093;-0.330;0.085;-0.231;
20190905_113016;1.834;9.618;0.452;-0.237;-0.165;0.160;
20190905_113016;2.157;9.661;0.393;-0.297;-0.105;-0.182;
20190905_113016;0.448;9.993;-0.017;0.280;-0.166;-0.696;
20190905_113016;1.602;9.210;0.809;0.090;-0.142;-0.355;
20190905_113017;-0.127;9.112;1.437;-0.294;-0.024;-0.850;
20190905_113017;-1.846;9.711;0.266;0.811;-0.643;-0.714;
20190905_113017;-1.374;11.092;0.132;0.086;0.204;-0.014;
20190905_113017;0.206;8.959;-1.621;1.809;-0.171;1.080;
20190905_113017;0.802;8.487;-3.309;2.111;0.397;0.727;
20190905_113017;1.671;8.076;-5.334;0.854;0.523;0.510;
20190905_113017;1.396;7.968;-5.219;0.844;0.327;-0.024;
20190905_113017;1.650;7.784;-3.699;1.003;0.570;-0.116;
20190905_113017;1.757;6.905;-6.912;0.164;0.366;-0.057;
20190905_113018;2.569;6.424;-7.616;0.925;0.419;-0.245;
20190905_113018;2.868;5.978;-7.563;-0.285;0.046;0.047;
20190905_113018;2.660;6.316;-6.823;-0.272;0.044;0.060;
20190905_113018;0.175;10.044;-8.459;-0.580;-0.103;-0.252;
20190905_113018;3.287;9.467;-5.552;-0.552;-0.028;-0.037;
20190905_113018;2.586;8.124;-7.515;-0.406;-0.855;0.293;
20190905_113018;2.641;9.764;-5.045;-0.178;0.009;0.293;
20190905_113018;2.914;8.322;-5.871;-0.214;-0.386;0.086;
20190905_113018;2.954;8.739;-4.444;-0.551;0.185;-0.117;
20190905_113018;2.607;7.779;-4.549;-0.251;0.152;-0.273;
20190905_113019;0.907;9.220;-6.237;0.484;0.227;-0.520;
20190905_113019;4.120;7.997;-5.179;-0.234;0.190;0.083;
20190905_113019;2.411;8.243;-3.725;-0.274;-0.023;-0.537;
20190905_113019;0.759;8.796;-6.622;0.295;0.237;-1.778;
20190905_113019;-1.192;8.794;-4.760;-0.361;-0.137;-0.544;
20190905_113019;0.821;8.511;-5.856;0.338;0.088;0.239;
