Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20190926_035134;0.421;9.553;-1.958;-0.116;-0.228;-0.098;
20190926_035134;0.702;9.328;-1.877;-0.007;-0.052;0.062;
20190926_035134;0.529;9.043;-2.014;0.035;-0.049;0.006;
20190926_035134;0.934;10.178;-2.030;-0.014;0.049;-0.024;
20190926_035135;0.646;10.326;-1.635;-0.133;0.049;-0.009;
20190926_035135;0.625;9.378;-1.832;-0.026;-0.002;0.005;
20190926_035135;0.450;8.423;-1.860;-0.024;-0.012;0.005;
20190926_035135;0.575;9.222;-1.640;-0.003;-0.004;0.001;
20190926_035135;0.725;9.864;-1.870;0.005;-0.001;0.007;
20190926_035135;0.759;9.309;-1.743;0.000;0.003;0.003;
20190926_035135;0.792;9.392;-1.750;0.006;-0.001;-0.006;
20190926_035135;0.668;9.258;-1.882;0.006;0.000;-0.000;
20190926_035135;0.721;9.589;-1.903;0.001;0.001;-0.000;
20190926_035135;0.680;9.881;-1.937;-0.003;0.004;-0.005;
20190926_035136;0.452;9.732;-1.815;-0.010;0.004;-0.006;
20190926_035136;0.709;9.354;-1.781;-0.007;0.004;0.006;
20190926_035136;0.563;9.275;-1.623;-0.007;0.004;0.004;
20190926_035136;0.582;9.680;-1.750;0.009;0.004;-0.004;
20190926_035136;0.541;9.179;-1.841;-0.004;0.005;0.006;
20190926_035136;0.745;9.017;-1.788;-0.006;-0.011;0.004;
20190926_035136;0.682;9.546;-1.812;0.010;0.000;-0.003;
20190926_035136;0.663;10.412;-1.891;0.010;-0.001;-0.007;
20190926_035136;0.553;9.699;-1.908;-0.007;0.007;0.007;
20190926_035137;0.620;9.088;-1.844;-0.013;0.000;0.007;
20190926_035137;0.584;9.364;-1.920;0.008;0.003;-0.009;
20190926_035137;0.785;9.716;-1.958;-0.008;0.007;0.002;
20190926_035137;0.728;9.823;-1.925;0.009;0.004;-0.000;
20190926_035137;0.781;9.325;-1.774;-0.013;0.006;-0.000;
20190926_035137;0.611;9.108;-1.753;0.003;0.004;-0.007;
20190926_035137;0.627;9.191;-1.638;0.003;0.003;0.002;
20190926_035137;0.512;9.847;-1.741;0.009;0.003;-0.001;
20190926_035137;0.582;10.036;-1.961;0.001;0.004;-0.003;
20190926_035137;0.455;9.570;-1.824;-0.007;0.007;0.002;
20190926_035138;0.625;9.287;-1.961;-0.003;0.003;0.005;
20190926_035138;0.634;9.309;-1.779;-0.005;0.006;0.001;
