Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20190925_192447;-0.773;5.547;6.208;0.339;0.388;-0.131;
20190925_192448;-1.140;5.758;6.812;0.035;-0.101;-0.035;
20190925_192448;-0.136;6.754;7.659;0.198;-0.612;0.155;
20190925_192448;-1.192;5.904;5.150;0.858;-1.570;0.903;
20190925_192448;3.112;9.632;6.589;0.608;-0.332;1.740;
20190925_192448;7.654;6.529;4.156;1.460;0.038;3.117;
20190925_192448;7.381;3.622;1.360;3.745;-1.296;0.294;
20190925_192448;6.476;7.499;3.290;0.833;0.346;0.615;
20190925_192448;7.764;9.148;-1.396;2.143;0.152;-0.678;
20190925_192448;9.483;4.551;-1.911;1.808;0.245;0.971;
20190925_192448;4.932;4.329;-3.424;1.187;-0.855;-0.007;
20190925_192449;7.676;6.764;-2.794;0.856;0.891;0.530;
20190925_192449;6.539;7.487;-2.964;0.233;-0.255;-0.251;
20190925_192449;5.811;5.547;-3.926;1.153;-0.264;-0.794;
20190925_192449;6.663;6.050;-3.996;0.146;-0.535;-0.543;
20190925_192449;4.295;6.352;-5.181;0.257;-1.023;-0.644;
20190925_192449;4.681;5.322;-4.460;-0.732;-0.366;-0.417;
20190925_192449;2.686;7.666;-2.631;0.842;-1.185;-1.527;
20190925_192449;4.221;7.910;-4.911;-0.269;-0.069;0.454;
20190925_192449;1.666;9.328;-2.701;-0.822;-0.446;-0.239;
20190925_192450;1.714;10.209;-2.986;0.028;-0.070;-0.077;
20190925_192450;2.753;8.531;-2.670;0.034;0.187;0.057;
20190925_192450;1.946;8.780;-3.247;0.162;0.283;-0.182;
20190925_192450;2.356;8.382;-2.265;-0.093;-0.122;-0.586;
20190925_192450;-1.051;9.340;-4.243;0.160;-0.024;-0.708;
20190925_192450;1.331;9.210;-3.103;-0.188;0.172;0.103;
20190925_192450;1.650;9.668;-2.473;-0.104;0.338;-0.003;
20190925_192450;0.852;9.225;-2.231;-0.078;0.121;0.020;
20190925_192450;0.816;9.855;0.939;-1.036;-0.233;-0.290;
20190925_192451;1.999;9.007;-3.328;-0.114;0.107;-0.108;
20190925_192451;1.233;9.440;0.711;-0.483;0.010;-0.058;
20190925_192451;1.154;9.364;-1.283;-0.045;0.043;0.004;
20190925_192451;0.601;9.546;-0.951;0.094;0.005;0.014;
20190925_192451;1.544;9.155;-0.426;-0.272;-0.043;0.129;
20190925_192451;1.226;8.830;-0.187;-0.276;0.231;-0.662;
20190925_192451;-0.151;9.783;-1.683;-0.109;-0.009;-0.476;
20190925_192451;0.462;9.108;-1.697;-0.050;-0.060;-0.130;
20190925_192451;-0.555;9.292;-1.664;-0.156;-0.008;0.010;
20190925_192452;-0.455;9.606;-1.489;0.002;-0.004;-0.012;
20190925_192452;-0.692;9.385;-1.803;0.001;0.046;-0.039;
20190925_192452;-0.050;8.705;-1.671;-0.007;0.039;0.082;
20190925_192452;-1.049;9.752;-1.765;0.026;0.051;-0.028;
20190925_192452;-1.106;9.455;-1.796;0.060;0.066;0.051;
20190925_192452;0.587;9.242;-1.867;0.002;-0.040;0.289;
20190925_192452;-0.299;9.402;-2.028;0.221;0.151;0.211;
20190925_192452;0.479;9.311;-2.514;0.166;0.083;0.121;
20190925_192452;0.551;9.170;-1.980;-0.127;-0.010;0.002;
20190925_192452;0.345;9.594;-2.555;0.012;-0.018;-0.076;
20190925_192453;-0.187;9.029;-2.210;-0.041;-0.029;-0.202;
20190925_192453;0.572;9.498;-2.047;-0.120;-0.111;0.220;
20190925_192453;0.311;9.555;-2.473;0.023;0.002;-0.052;
20190925_192453;0.268;9.323;-2.411;0.090;0.024;0.001;
20190925_192453;0.910;9.127;-2.382;-0.036;-0.037;-0.044;
20190925_192453;1.197;9.373;-1.999;0.059;0.018;-0.076;
20190925_192453;0.673;8.823;-2.674;0.140;0.111;0.088;
20190925_192453;-0.175;9.364;-2.179;-0.008;0.047;0.236;
20190925_192453;2.691;9.342;-2.547;0.122;-0.049;0.243;
20190925_192454;0.522;9.196;-2.205;-0.114;0.011;-0.015;
20190925_192454;0.546;8.820;-1.997;-0.020;0.033;0.261;
20190925_192454;1.664;8.916;-2.258;0.011;-0.020;0.267;
20190925_192454;-0.113;9.091;-2.265;-0.235;-0.013;-0.234;
20190925_192454;0.402;8.789;-1.927;0.001;0.052;0.042;
20190925_192454;0.290;9.371;-2.512;-0.055;0.006;0.071;
20190925_192454;0.836;9.663;-1.836;-0.169;-0.025;-0.044;
20190925_192454;1.199;9.127;-1.822;-0.007;0.022;0.018;
20190925_192454;2.160;7.997;-1.609;0.012;0.020;-0.205;
20190925_192454;-1.343;11.341;-2.377;0.017;-0.022;-0.317;
20190925_192455;0.345;9.474;-1.812;-0.004;0.017;0.155;
20190925_192455;0.819;9.527;-1.865;0.036;0.005;0.096;
20190925_192455;0.761;10.003;-1.841;0.020;-0.032;0.252;
20190925_192455;0.694;9.534;-1.841;-0.037;-0.024;0.010;
20190925_192455;1.434;10.362;-1.915;0.038;-0.012;0.200;
20190925_192455;0.979;9.603;-1.908;0.016;0.026;-0.021;
