Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20190925_050211;0.311;9.345;-2.222;-0.001;-0.010;0.001;
20190925_050211;0.302;9.318;-2.229;-0.005;-0.009;0.001;
20190925_050211;0.287;9.352;-2.179;0.001;-0.011;0.001;
20190925_050212;0.280;9.335;-2.138;-0.003;-0.009;0.001;
20190925_050212;0.350;9.345;-2.219;-0.001;-0.009;0.001;
20190925_050212;0.318;9.412;-2.219;-0.005;-0.012;-0.002;
20190925_050212;0.304;9.369;-2.186;-0.004;-0.011;0.001;
20190925_050212;0.290;9.412;-2.191;-0.004;-0.008;0.004;
20190925_050212;0.189;9.424;-2.188;0.002;-0.010;0.001;
20190925_050212;0.275;9.409;-2.215;-0.001;0.001;-0.000;
20190925_050212;0.278;9.404;-2.198;0.004;0.001;0.001;
20190925_050212;0.261;9.450;-2.239;-0.000;0.002;0.001;
20190925_050213;0.251;9.414;-2.219;-0.000;0.001;-0.000;
20190925_050213;0.285;9.397;-2.157;-0.000;0.001;0.001;
20190925_050213;0.225;9.390;-2.222;-0.000;0.004;0.003;
20190925_050213;0.268;9.414;-2.229;0.003;0.001;0.001;
20190925_050213;0.309;9.323;-2.219;-0.001;0.001;0.001;
20190925_050213;0.285;9.345;-2.179;-0.001;0.000;-0.000;
20190925_050213;0.249;9.318;-2.207;-0.002;0.002;0.001;
20190925_050213;0.283;9.349;-2.203;-0.001;0.003;0.002;
20190925_050213;0.302;9.309;-2.217;-0.001;0.002;0.003;
20190925_050213;0.311;9.383;-2.207;-0.003;0.001;0.002;
20190925_050214;0.263;9.301;-2.234;-0.000;0.002;0.002;
20190925_050214;0.242;9.364;-2.239;-0.000;0.001;0.001;
20190925_050214;0.244;9.311;-2.210;-0.002;0.000;0.002;
20190925_050214;0.268;9.388;-2.255;0.002;0.000;0.001;
20190925_050214;0.275;9.325;-2.270;-0.000;0.001;-0.000;
20190925_050214;0.271;9.412;-2.241;-0.001;0.000;0.001;
