Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20190908_091814;-0.747;5.978;8.028;0.264;-0.275;0.061;
20190908_091814;-1.022;5.816;7.882;-0.055;0.131;-0.023;
20190908_091814;-1.027;5.842;8.107;-0.036;0.036;0.001;
20190908_091814;-0.778;5.851;7.695;0.082;-0.064;0.027;
20190908_091814;-1.013;6.132;8.490;0.540;-0.488;0.006;
20190908_091814;-0.721;7.515;6.716;1.978;-0.909;0.075;
20190908_091814;1.834;8.617;3.464;2.338;-1.431;0.250;
20190908_091815;1.652;9.354;2.952;0.873;-1.112;0.139;
20190908_091815;0.998;9.285;1.645;1.399;-0.754;-0.351;
20190908_091815;0.340;10.080;3.287;0.191;0.531;-0.498;
20190908_091815;2.717;9.179;-0.297;1.719;0.240;0.557;
20190908_091815;1.994;9.711;-1.065;1.373;0.540;0.153;
20190908_091815;2.219;8.590;-1.032;1.985;0.401;-0.461;
20190908_091815;2.626;9.225;-2.047;0.946;0.173;0.236;
20190908_091815;0.781;8.538;-4.120;1.843;0.208;-0.098;
20190908_091815;1.089;7.242;-6.357;0.869;0.735;0.139;
20190908_091815;2.672;8.732;-5.595;0.216;0.208;-0.043;
20190908_091816;0.536;7.175;-6.503;0.281;0.062;-0.263;
20190908_091816;1.262;7.321;-6.922;0.049;-0.038;-0.496;
20190908_091816;1.659;8.408;-5.847;-0.416;0.446;-0.093;
20190908_091816;-0.333;8.959;-6.115;-0.315;0.234;-0.212;
20190908_091816;3.682;8.732;-5.399;-0.643;0.264;0.061;
20190908_091816;1.250;8.497;-4.954;-0.228;0.248;-0.732;
20190908_091816;-0.766;8.851;-4.664;-0.350;-0.107;-0.980;
20190908_091816;0.017;8.550;-4.805;-0.401;-0.071;-0.059;
20190908_091816;0.043;8.784;-4.793;-0.035;0.006;0.174;
20190908_091817;-0.675;8.183;-3.587;-0.426;-0.005;0.444;
20190908_091817;-0.096;8.423;-5.377;-0.156;0.039;-0.039;
20190908_091817;-1.523;9.210;-1.853;-0.650;0.063;-0.957;
20190908_091817;-0.713;9.823;-2.155;-0.235;0.051;0.005;
20190908_091817;-0.867;9.682;-1.966;-0.134;0.027;-0.077;
20190908_091817;-0.833;9.431;-2.552;-0.048;0.024;-0.004;
20190908_091817;-0.814;9.196;-3.045;-0.049;0.126;0.011;
20190908_091817;-0.737;9.531;-2.083;0.033;0.034;0.000;
20190908_091817;-0.697;9.589;-2.222;0.002;0.011;-0.003;
20190908_091817;-0.637;9.419;-2.184;-0.024;0.028;-0.001;
20190908_091818;-0.661;9.469;-2.162;-0.016;0.027;-0.003;
20190908_091818;-0.599;9.357;-2.631;0.068;0.011;-0.008;
20190908_091818;-0.620;9.512;-2.325;0.014;0.019;-0.002;
20190908_091818;-0.974;9.618;-2.267;0.016;0.006;-0.001;
20190908_091818;0.201;9.685;-1.913;-0.045;-0.012;0.798;
20190908_091818;0.117;9.562;-2.107;0.004;0.015;-0.042;
20190908_091818;0.057;9.450;-2.188;0.019;0.013;-0.005;
20190908_091818;0.074;9.431;-2.150;0.018;0.053;-0.003;
20190908_091818;0.227;9.608;-2.294;0.016;0.043;-0.003;
20190908_091819;0.316;9.629;-2.097;-0.012;0.015;-0.005;
20190908_091819;0.259;9.606;-2.377;0.032;0.027;-0.006;
20190908_091819;0.120;9.486;-2.162;0.000;0.013;-0.005;
20190908_091819;0.211;9.450;-2.430;0.013;0.011;-0.004;
20190908_091819;0.206;9.488;-2.284;-0.006;0.015;-0.004;
20190908_091819;0.184;9.517;-2.219;0.007;0.011;-0.005;
20190908_091819;0.160;9.637;-2.265;0.007;0.011;-0.004;
20190908_091819;0.108;9.467;-2.251;0.003;0.011;-0.003;
20190908_091819;0.098;9.459;-2.205;0.002;0.011;-0.003;
20190908_091819;0.124;9.527;-2.277;0.003;0.009;-0.004;
20190908_091820;0.153;9.433;-2.162;-0.002;0.010;-0.004;
20190908_091820;0.158;9.498;-2.243;0.003;0.009;-0.004;
20190908_091820;0.184;9.560;-2.215;-0.001;0.010;-0.004;
20190908_091820;0.208;9.680;-2.282;-0.002;0.009;-0.003;
20190908_091820;0.235;9.618;-2.310;0.005;0.008;-0.004;
20190908_091820;0.251;9.531;-2.224;-0.004;0.010;-0.005;
20190908_091820;0.242;9.407;-2.274;0.004;0.009;-0.004;
20190908_091820;0.230;9.462;-2.203;-0.001;0.009;-0.003;
20190908_091820;0.227;9.462;-2.241;-0.001;0.009;-0.003;
20190908_091820;0.232;9.567;-2.212;0.000;0.008;-0.002;
20190908_091821;0.139;9.589;-2.188;0.004;0.008;-0.003;
20190908_091821;0.134;9.548;-2.224;0.000;0.008;-0.004;
20190908_091821;0.139;9.601;-2.306;0.003;0.008;-0.001;
20190908_091821;0.163;9.586;-2.267;-0.001;0.006;-0.002;
20190908_091821;0.208;9.538;-2.277;-0.001;0.008;-0.003;
20190908_091821;0.225;9.522;-2.289;0.000;0.008;-0.004;
20190908_091821;0.247;9.287;-2.198;0.002;0.007;-0.005;
20190908_091821;0.223;9.380;-2.241;0.001;0.006;-0.004;
20190908_091821;0.165;9.428;-2.203;0.003;0.006;-0.004;
20190908_091822;0.108;9.464;-2.200;0.002;0.006;-0.004;
20190908_091822;0.148;9.608;-2.277;0.003;0.006;-0.004;
20190908_091822;0.120;9.565;-2.167;-0.002;0.007;-0.002;
20190908_091822;0.187;9.570;-2.368;0.002;0.006;-0.002;
20190908_091822;0.211;9.498;-2.251;0.004;0.006;-0.003;
20190908_091822;0.124;9.450;-2.184;-0.001;0.006;-0.004;
