Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20190905_195351;1.516;5.040;8.028;0.304;-0.108;-0.026;
20190905_195351;1.161;5.344;8.832;-0.029;0.368;0.056;
20190905_195351;1.128;4.398;7.927;0.083;0.053;0.200;
20190905_195351;1.331;5.938;8.988;0.025;-0.917;0.626;
20190905_195351;3.886;5.272;3.409;0.529;-1.432;1.186;
20190905_195351;5.344;3.476;10.829;-2.081;-1.294;1.708;
20190905_195351;5.665;2.732;9.014;0.012;-1.281;1.455;
20190905_195351;7.065;1.389;4.879;1.317;-1.268;1.241;
20190905_195351;7.887;1.439;5.298;1.389;-0.495;0.197;
20190905_195352;7.654;1.741;3.481;1.773;-1.063;0.013;
20190905_195352;10.532;2.306;2.844;0.671;-0.914;-0.151;
20190905_195352;9.239;3.060;0.778;-0.042;-0.248;-0.009;
20190905_195352;9.021;3.618;1.760;-0.208;-0.219;-0.239;
20190905_195352;8.871;2.923;1.803;-0.527;-0.513;-0.208;
20190905_195352;8.483;3.259;3.845;-0.378;-0.314;0.105;
20190905_195352;8.727;3.445;0.658;0.140;-0.045;0.058;
20190905_195352;8.739;4.377;1.259;0.174;0.196;-0.117;
20190905_195352;8.495;4.118;0.294;0.179;0.041;-0.226;
20190905_195352;7.819;3.208;0.591;0.975;-0.150;-0.383;
20190905_195353;11.250;3.938;0.670;0.599;-0.327;-0.993;
20190905_195353;6.711;7.470;1.049;0.446;-0.617;-1.555;
20190905_195353;6.433;5.533;-2.459;1.263;-0.491;-1.318;
20190905_195353;4.786;8.222;-0.069;0.100;-0.288;-0.803;
20190905_195353;5.631;6.673;-1.951;0.406;-0.068;-0.176;
20190905_195353;3.740;9.313;-2.294;0.292;-0.114;-0.814;
20190905_195353;3.850;7.987;-3.445;1.567;-0.686;-0.365;
20190905_195353;4.920;6.153;-6.172;1.872;-0.597;0.200;
20190905_195353;2.629;6.919;-8.626;2.729;-1.582;-0.180;
20190905_195353;2.758;5.507;-7.290;0.458;-0.087;0.036;
20190905_195354;2.306;5.212;-8.559;0.163;-0.173;-0.313;
20190905_195354;1.944;6.254;-8.337;0.145;0.031;-0.078;
20190905_195354;2.586;5.674;-7.482;-1.155;0.338;-0.211;
20190905_195354;3.632;5.842;-6.500;-0.731;0.545;0.091;
20190905_195354;2.504;6.261;-5.411;-1.150;-0.122;-0.561;
20190905_195354;1.846;8.009;-4.748;-0.823;0.230;-0.339;
20190905_195354;2.830;8.475;-4.192;-0.013;0.909;0.056;
20190905_195354;1.372;9.754;-3.857;0.005;0.218;-0.505;
20190905_195354;0.582;8.677;-4.195;0.815;-0.297;-0.029;
20190905_195355;1.968;8.231;-6.474;0.108;-0.058;0.025;
20190905_195355;1.401;8.432;-4.800;0.009;0.011;0.024;
20190905_195355;1.741;8.203;-5.578;0.017;0.004;-0.065;
20190905_195355;1.767;8.238;-5.215;-0.075;-0.001;-0.007;
20190905_195355;1.748;8.375;-5.622;-0.370;0.125;-0.166;
20190905_195355;1.448;8.600;-4.396;-0.597;0.188;-0.488;
20190905_195355;1.039;9.038;-4.120;-0.185;0.144;-0.760;
20190905_195355;-0.005;9.076;-4.247;-0.193;0.129;-0.192;
20190905_195355;1.908;9.014;-2.998;-0.312;0.155;0.036;
20190905_195355;-1.049;9.206;-3.716;0.008;0.085;-0.424;
20190905_195356;-0.357;8.775;-3.709;0.010;0.050;-0.338;
20190905_195356;-0.503;9.290;-3.622;-0.019;0.011;-0.052;
20190905_195356;0.271;9.392;-3.740;0.022;-0.006;0.421;
20190905_195356;0.833;9.761;-3.740;-0.018;0.000;0.228;
20190905_195356;-0.148;8.672;-3.661;0.004;0.009;-0.197;
20190905_195356;-0.180;9.220;-3.764;0.009;0.001;-0.118;
20190905_195356;0.036;9.163;-3.812;0.007;0.001;0.007;
20190905_195356;0.177;10.192;-3.587;0.008;0.011;0.143;
20190905_195356;0.208;9.155;-3.778;0.004;0.004;-0.007;
20190905_195357;-0.397;11.214;-3.785;0.167;-0.011;0.041;
20190905_195357;-0.036;9.007;-3.654;0.034;-0.004;0.004;
20190905_195357;0.311;9.021;-4.041;-0.000;0.000;0.008;
20190905_195357;0.211;8.971;-3.972;-0.012;0.001;0.005;
20190905_195357;0.127;8.950;-3.869;-0.021;0.005;0.005;
20190905_195357;0.208;8.959;-3.950;0.003;0.003;0.005;
20190905_195357;0.249;8.935;-3.867;-0.001;-0.001;0.002;
20190905_195357;0.113;9.017;-3.840;0.006;-0.002;0.005;
20190905_195357;0.378;8.981;-3.836;0.004;0.000;0.005;
20190905_195358;0.093;9.081;-3.886;0.012;-0.002;0.005;
20190905_195358;0.120;8.962;-3.886;0.012;-0.002;0.006;
20190905_195358;0.359;8.985;-3.900;0.009;-0.001;0.005;
20190905_195358;0.273;9.014;-3.883;0.011;-0.002;0.004;
20190905_195358;0.232;9.019;-3.950;0.009;-0.004;0.003;
20190905_195358;0.194;9.052;-3.934;0.019;-0.005;-0.000;
20190905_195358;0.060;9.124;-4.037;-0.006;-0.001;-0.001;
20190905_195358;0.254;9.055;-3.852;-0.011;0.000;-0.001;
20190905_195358;0.283;8.995;-3.931;0.022;-0.005;-0.001;
20190905_195358;0.170;9.002;-3.977;0.025;-0.006;-0.003;
20190905_195359;0.184;9.079;-4.137;0.030;-0.003;-0.005;
20190905_195359;0.160;8.947;-3.926;-0.015;0.000;-0.001;
20190905_195359;0.261;9.026;-3.984;0.008;-0.002;-0.004;
20190905_195359;0.268;8.983;-3.967;0.003;-0.003;-0.001;
20190905_195359;0.218;8.990;-3.950;-0.000;-0.001;-0.001;
20190905_195359;0.237;8.964;-4.001;0.007;-0.003;-0.000;
20190905_195359;0.220;9.021;-3.972;0.004;-0.001;-0.000;
